Variable:,pr
,Slovakia,"Banska Bystrica",Bratislava,Kosice,Nitra,Presov,Trencin,Trnava,Zilna
1980,834.09,866.78,611.41,872.66,649.12,919.85,804.65,599.12,1039.55
1981,738.83,760.08,569.54,698.75,572.80,753.35,805.35,554.96,1009.08
1982,644.20,653.27,578.56,605.43,560.56,631.82,673.50,547.82,827.35
1983,632.02,629.00,485.57,633.04,473.05,705.62,626.74,460.49,837.67
1984,724.80,758.21,602.53,701.10,609.46,723.96,762.80,582.98,911.49
1985,810.11,786.73,695.70,777.32,623.39,854.09,865.34,650.86,1089.60
1986,595.92,598.08,534.03,516.93,502.24,568.56,672.45,506.53,823.35
1987,754.13,758.85,700.59,672.17,664.53,740.02,818.19,652.47,969.79
1988,708.30,755.60,602.81,654.91,611.67,696.67,747.03,572.71,892.99
1989,717.33,751.16,538.35,727.02,520.35,782.91,693.03,506.26,953.93
1990,698.90,702.93,589.02,662.48,542.09,728.28,730.85,551.99,939.44
1991,729.69,772.93,615.48,688.92,609.63,728.20,742.16,592.90,934.30
1992,642.07,629.05,578.23,606.80,509.09,676.84,679.27,534.70,835.71
1993,623.24,641.33,578.34,555.17,548.05,598.51,671.29,542.01,803.44
1994,740.30,748.80,612.13,666.35,620.30,747.94,786.32,595.91,1000.54
1995,785.85,823.92,725.50,689.25,725.83,743.98,840.39,684.24,983.99
1996,797.44,805.03,691.71,727.07,654.30,794.06,854.50,665.59,1071.08
1997,719.51,681.05,599.83,701.46,505.63,799.50,771.32,554.17,989.34
1998,807.56,851.79,623.39,777.53,680.12,841.03,806.68,610.46,1025.72
1999,842.31,914.64,663.83,794.12,719.66,852.47,827.70,641.41,1075.36
2000,694.97,689.34,543.85,645.01,498.49,741.92,748.64,516.07,997.06
2001,805.91,841.23,543.82,780.33,567.47,871.52,826.49,529.72,1153.50
2002,794.47,832.50,670.28,737.46,629.98,800.46,832.47,632.89,1055.87
2003,587.53,603.70,462.20,589.16,435.66,628.92,587.93,430.22,785.91
2004,795.90,853.49,615.44,797.53,641.56,840.35,753.94,581.34,1010.58
2005,830.39,885.37,643.74,804.60,682.96,848.03,831.18,613.33,1081.31
2006,704.88,720.70,616.95,675.07,601.58,730.16,718.74,565.28,877.19
2007,784.66,800.68,687.99,739.40,646.69,806.16,796.90,625.89,1026.31
2008,754.94,792.25,610.97,717.30,631.15,774.86,770.31,587.50,964.97
2009,839.54,860.30,713.40,776.93,681.92,857.83,866.84,668.81,1121.75
2010,1108.74,1187.61,837.50,1088.04,891.42,1157.49,1092.18,820.93,1422.38
2011,606.58,618.53,452.35,580.80,458.29,642.13,625.36,437.17,845.34
2012,661.49,674.45,563.49,608.08,538.21,671.88,705.64,530.65,880.63
2013,780.59,815.54,669.79,714.27,645.63,776.05,821.63,622.47,1034.58
2014,849.39,871.41,723.70,767.49,721.67,827.25,904.91,694.69,1149.20
2015,675.05,703.51,576.01,635.47,568.66,659.44,705.06,550.47,883.87
2016,901.74,935.24,783.60,847.12,745.53,898.87,937.30,728.88,1178.69
2017,797.31,823.39,659.74,752.88,638.74,817.60,826.30,623.40,1055.03
2018,706.60,717.43,627.61,652.60,602.94,694.85,758.98,593.73,919.62
2019,769.31,792.94,647.88,693.80,658.77,746.26,834.43,634.23,1024.25
2020,844.38,861.67,711.28,774.55,682.25,852.15,905.30,676.63,1136.15
2021,734.42,737.75,602.43,673.14,595.08,748.55,791.20,580.07,1001.84
