Variable:,pr
,Romania,Alba,Arad,Arges,Bacau,Bihor,Bistrita-nasaud,Botosani,Braila,Brasov,Bucuresti,Buzau,Calarasi,Caras-severin,Cluj,Constanta,Covasna,Dimbovita,Dolj,Galati,Giurgiu,Gorj,Harghita,Hunedoara,Ialomita,Iasi,Maramures,Mehedinti,Mures,Neamt,Olt,Prahova,Salaj,"Satu Mare",Sibiu,Suceava,Teleorman,Timis,Tulcea,Vaslui,Vilcea,Vrancea
1918,632.55,719.34,624.43,732.09,601.00,669.58,761.02,511.09,468.51,760.64,584.79,598.86,519.21,712.67,705.13,439.78,751.08,697.19,559.14,485.04,595.60,701.71,746.18,733.23,502.44,502.69,807.79,616.34,701.09,643.86,583.80,697.47,713.24,701.38,734.04,707.56,591.23,590.82,385.18,501.82,705.70,589.64
1919,733.39,777.05,703.83,802.70,702.74,711.20,791.06,573.27,634.17,793.60,731.45,755.95,710.42,900.67,742.82,642.54,837.95,801.34,667.62,648.02,744.70,812.97,773.41,832.56,672.65,585.18,849.93,759.45,718.95,689.42,684.44,839.95,749.74,735.66,769.75,750.38,709.06,738.39,553.64,662.76,774.76,744.85
1920,629.15,751.42,664.12,730.15,560.20,730.58,779.02,497.29,405.43,734.92,556.71,550.17,476.74,748.05,749.75,361.81,722.13,690.74,588.41,426.39,592.55,730.84,730.33,769.96,444.14,464.96,836.70,644.33,704.72,618.43,607.44,658.16,760.95,744.38,734.39,711.93,608.54,615.99,309.63,436.35,717.49,541.78
1921,547.26,635.42,573.47,606.58,499.83,595.39,624.95,440.15,394.47,612.14,493.00,503.46,446.60,685.37,616.52,377.43,610.40,567.60,521.33,412.47,505.20,659.49,598.16,687.12,420.23,424.04,684.68,598.70,569.87,521.74,518.30,575.37,617.78,607.68,609.97,582.61,499.96,552.53,321.41,431.48,620.33,498.58
1922,746.98,870.63,770.40,800.63,700.90,826.58,920.26,680.65,544.28,858.75,642.97,688.73,582.27,870.45,867.76,519.02,858.48,769.74,620.62,565.37,634.16,828.10,866.10,907.79,573.83,643.47,998.12,728.22,828.83,773.09,625.94,784.93,876.60,858.97,850.58,873.60,622.54,724.17,458.25,607.82,799.98,690.26
1923,600.13,648.48,565.56,712.42,551.44,618.15,708.62,519.72,440.27,694.89,584.36,569.33,502.42,708.55,636.19,416.11,692.72,689.36,569.09,455.43,596.29,691.48,685.50,686.35,481.84,482.45,752.39,625.41,639.06,584.17,590.40,671.50,649.13,638.49,668.07,669.76,599.77,562.30,366.28,476.35,682.13,559.63
1924,613.50,723.76,667.98,729.00,532.77,677.52,679.25,435.51,398.86,709.18,551.05,538.61,487.20,826.88,677.47,387.82,693.64,680.58,627.62,408.82,581.13,791.91,671.18,796.32,444.97,419.66,725.57,725.47,633.78,554.24,622.24,657.69,665.57,630.16,711.24,615.24,592.48,661.01,320.36,422.55,739.67,525.71
1925,694.90,829.42,755.56,773.78,579.84,804.00,842.31,528.22,458.32,773.55,603.22,589.88,547.93,898.50,824.33,452.60,741.66,728.47,651.04,464.67,631.59,835.05,765.16,888.85,500.46,488.65,946.03,752.28,743.07,645.35,653.61,716.59,839.19,827.04,798.59,752.21,634.90,742.93,393.65,478.74,786.70,571.46
1926,633.08,759.26,691.83,675.29,594.45,728.04,781.37,538.10,418.88,719.03,501.35,547.07,435.36,813.96,749.56,366.51,720.62,629.78,536.69,459.69,501.41,737.33,743.54,812.75,435.79,522.61,846.49,656.99,705.80,661.48,535.84,625.83,749.27,731.17,717.20,740.84,503.15,667.62,351.55,518.59,686.10,557.74
1927,619.65,716.18,644.58,707.56,553.33,686.00,740.60,507.28,398.99,707.16,530.98,526.48,457.23,802.78,708.18,368.59,690.19,654.07,607.48,422.21,557.37,752.31,708.75,773.81,431.58,475.00,808.23,692.68,666.91,610.91,601.57,631.22,715.88,695.90,702.23,694.57,575.82,650.46,328.63,454.61,711.04,526.28
1928,576.25,654.61,547.53,675.69,545.89,594.09,691.17,500.59,411.39,693.21,518.66,532.05,459.92,662.69,641.13,388.24,688.43,642.16,534.89,429.82,538.22,668.97,677.19,683.57,439.85,478.39,730.26,586.50,635.46,580.56,549.26,629.91,635.45,613.86,667.26,654.44,541.35,520.63,343.13,457.32,657.05,528.85
1929,574.12,684.01,602.63,681.15,473.49,617.24,650.81,433.54,372.03,632.78,518.92,469.99,452.27,782.01,620.44,367.33,604.52,626.25,607.77,391.63,561.15,736.87,617.21,747.93,409.53,406.35,696.04,681.14,589.82,520.74,601.70,585.70,616.86,594.68,668.50,608.48,579.22,610.52,316.48,413.99,694.57,461.54
1930,629.97,730.72,662.30,714.37,576.21,716.79,763.33,528.51,442.86,743.14,543.16,567.04,492.19,733.20,730.78,411.84,729.34,664.38,560.32,467.46,544.18,727.46,731.31,760.67,471.73,497.14,827.58,634.18,694.03,618.40,574.56,661.30,735.07,715.76,729.70,714.31,547.28,614.75,370.78,506.21,707.98,559.13
1931,651.70,737.27,666.73,732.17,589.21,689.54,744.14,496.61,472.23,735.20,610.12,600.15,559.72,822.30,710.35,469.46,736.96,699.97,643.16,489.07,642.27,784.82,709.30,802.38,510.81,491.15,798.11,716.67,678.75,603.24,642.09,693.83,714.45,699.34,724.77,665.88,640.74,657.99,404.45,502.84,735.25,595.06
1932,631.06,706.13,658.83,668.86,611.98,663.99,733.54,553.24,506.76,707.32,556.07,626.79,489.26,795.55,698.67,432.74,737.04,657.19,519.87,543.93,512.80,706.00,723.07,751.27,519.44,543.20,752.23,651.87,677.17,642.35,513.86,697.88,692.61,642.36,685.56,711.35,489.08,664.46,428.23,576.40,662.34,620.68
1933,781.13,848.85,730.71,874.94,765.69,766.74,946.58,640.51,639.24,941.06,752.07,804.36,680.39,858.39,837.28,596.93,967.24,869.23,656.08,667.79,736.80,848.93,931.36,884.62,677.07,630.14,980.65,746.44,864.47,792.88,684.89,911.17,827.33,807.90,873.24,883.39,707.59,692.27,539.63,673.26,831.80,790.83
1934,557.92,665.46,615.98,645.78,487.94,613.33,601.92,418.26,384.75,634.05,492.96,502.52,428.46,774.41,618.39,345.75,615.37,596.09,527.49,398.47,492.47,711.34,594.36,731.97,417.57,404.70,656.11,647.16,567.40,502.00,529.01,590.15,613.96,592.51,652.30,560.70,495.13,632.48,314.21,414.53,665.00,491.80
1935,571.50,667.38,612.15,662.90,484.16,644.21,648.02,418.52,393.10,652.84,536.75,516.84,486.63,707.75,639.92,407.73,636.58,622.56,567.84,392.70,564.02,706.02,610.55,719.45,439.06,382.56,726.47,631.26,597.89,496.50,575.19,616.72,653.12,645.23,657.01,573.01,564.22,582.31,335.76,392.12,669.32,496.48
1936,623.65,722.38,695.34,658.57,573.93,734.32,766.90,515.64,414.34,701.02,530.91,536.92,493.77,773.94,724.35,408.08,694.24,619.40,561.25,439.06,564.78,716.27,712.16,764.74,443.96,501.10,831.81,642.35,679.70,625.26,559.21,618.74,734.89,736.16,685.05,705.75,562.26,661.92,344.42,481.99,667.98,543.65
1937,712.60,794.29,757.26,828.36,634.90,744.84,751.21,542.27,508.56,790.88,677.58,650.69,596.87,974.56,726.82,502.31,767.14,787.32,739.85,528.50,702.42,889.21,741.30,879.85,558.67,541.05,788.93,843.94,694.82,648.71,721.75,775.23,727.41,698.68,786.18,706.77,704.81,807.36,432.16,556.97,836.88,634.21
1938,611.83,726.55,634.64,680.08,547.09,677.34,788.38,519.32,395.57,721.16,506.70,505.85,441.59,748.22,722.92,375.00,681.66,625.72,552.09,418.66,522.82,720.40,732.71,763.61,423.67,480.75,854.57,637.49,704.81,622.65,550.02,615.93,721.79,714.57,714.44,729.59,528.26,598.79,335.71,457.07,691.18,508.12
1939,683.39,796.83,721.01,828.89,555.35,727.46,715.39,465.23,495.37,788.36,668.80,634.70,597.60,910.87,718.16,496.90,743.58,785.05,701.01,488.80,687.03,889.17,705.04,888.47,551.73,437.34,773.35,811.08,676.71,563.71,698.86,774.50,721.05,705.17,792.54,648.33,685.35,715.69,419.69,467.95,835.90,594.77
1940,770.92,848.58,767.65,839.90,737.25,782.14,911.04,643.14,589.55,891.74,713.44,741.07,665.33,914.53,826.21,574.65,898.38,815.68,682.12,624.54,733.70,855.97,898.38,891.41,628.58,638.31,961.66,768.74,835.01,784.12,690.62,846.64,821.69,805.23,852.13,877.40,706.47,761.48,491.39,674.05,830.12,732.37
1941,843.67,974.78,820.87,927.20,825.19,861.20,1024.13,716.06,646.41,988.49,757.57,809.24,700.86,966.72,949.98,599.27,1001.40,891.03,714.21,678.59,757.07,945.24,993.73,1009.32,676.73,714.08,1096.08,821.59,936.53,875.49,729.49,913.63,934.02,903.06,967.58,959.30,728.91,770.11,542.82,723.10,917.01,810.11
1942,580.32,656.84,587.67,686.76,519.26,598.36,657.08,444.79,404.38,681.07,542.10,526.84,463.90,742.91,617.67,372.97,661.83,659.36,595.29,419.26,565.94,719.17,655.16,717.89,440.91,429.84,685.29,666.23,613.06,553.96,590.36,633.12,613.05,593.39,659.60,611.18,578.98,588.03,323.12,426.60,682.14,510.87
1943,568.41,577.42,522.47,612.46,557.81,540.48,621.93,474.81,518.85,629.85,589.04,608.05,574.25,639.55,568.46,519.48,679.74,624.47,493.41,531.41,595.06,594.40,618.81,611.15,544.01,485.52,660.82,549.30,568.55,543.65,515.16,665.04,567.72,554.46,582.62,603.74,553.84,530.58,467.53,549.25,575.42,602.42
1944,699.74,811.86,731.20,821.46,616.79,755.32,788.02,540.99,470.51,803.43,647.41,627.43,564.09,901.43,763.31,449.05,783.52,778.48,705.10,481.28,685.31,864.49,765.26,879.92,518.57,514.10,850.62,784.35,722.86,658.87,708.40,756.46,772.88,760.52,802.06,733.96,701.04,725.11,377.24,496.45,821.76,604.82
1945,496.64,586.75,569.10,498.33,447.26,602.78,612.02,409.07,358.21,537.84,414.49,448.81,384.90,613.17,596.80,343.94,552.74,473.01,409.74,377.07,408.44,554.59,560.09,617.81,369.63,388.87,682.20,495.74,538.59,492.94,403.26,497.92,606.12,604.63,540.51,565.05,391.74,536.38,308.60,404.45,508.49,451.87
1946,519.38,580.19,559.42,577.12,477.20,557.80,580.36,401.31,393.06,607.53,470.70,495.43,439.42,628.18,560.94,380.21,608.83,547.28,507.15,410.90,488.17,604.08,585.48,623.30,415.72,399.30,591.24,556.97,551.61,495.77,497.92,559.97,554.12,514.96,582.35,547.18,487.21,540.56,327.37,418.05,575.05,489.00
1947,626.24,683.65,576.26,704.31,609.40,622.44,784.51,564.30,487.64,754.58,578.71,617.07,518.39,655.09,693.95,454.52,776.55,697.69,532.75,508.31,584.51,676.36,771.71,707.90,512.26,547.93,815.05,583.48,717.82,666.35,559.10,710.56,694.48,670.73,704.74,750.14,568.53,518.04,410.03,529.19,667.50,612.88
1948,560.53,637.37,589.73,594.47,557.87,621.34,708.21,517.60,385.67,650.27,458.07,509.04,396.93,681.08,650.41,322.58,667.39,575.68,467.67,421.34,456.46,625.21,680.80,671.82,399.33,501.59,749.00,565.21,640.33,609.70,466.33,583.71,646.20,646.34,618.39,675.92,453.78,565.45,300.03,467.49,588.15,523.49
1949,616.96,688.17,619.42,684.72,585.62,646.01,696.32,550.19,471.12,686.81,563.50,590.73,493.49,753.05,666.00,418.12,704.13,663.17,571.85,502.62,561.08,733.19,681.16,755.90,491.41,539.53,740.31,662.88,636.34,621.62,573.79,667.25,668.33,644.97,668.52,677.33,553.68,595.50,393.30,538.07,682.45,588.15
1950,546.34,634.45,604.53,586.08,514.78,635.83,686.71,463.10,370.48,634.94,443.06,484.22,378.50,659.49,643.71,328.08,629.07,545.85,474.46,398.63,435.72,616.27,651.78,659.92,388.99,448.73,726.04,551.83,621.37,570.63,468.05,556.68,654.99,640.64,618.74,643.43,439.66,573.65,305.56,437.68,591.89,491.40
1951,569.46,688.34,636.57,636.95,486.72,657.73,656.49,441.72,357.84,639.88,449.27,464.18,396.02,781.87,655.63,338.36,626.22,601.81,559.71,372.16,486.77,709.86,634.91,759.49,385.77,406.75,737.49,659.15,601.45,534.23,548.47,563.45,661.90,663.39,660.29,615.90,526.21,630.32,294.26,393.99,654.10,459.86
1952,636.63,706.76,696.48,671.13,550.84,737.58,698.90,461.12,532.04,686.20,603.54,607.57,573.76,758.81,695.29,531.56,675.20,657.80,597.26,551.64,603.07,698.00,663.01,743.14,558.67,461.94,784.82,667.28,638.11,567.54,583.46,675.88,759.82,781.55,683.00,622.86,576.45,653.83,490.82,546.75,658.06,596.05
1953,540.35,639.82,600.94,616.07,456.48,606.40,614.70,395.08,367.70,595.29,458.90,465.43,415.49,733.07,616.02,351.33,593.42,584.64,523.36,379.32,486.89,674.97,584.56,709.10,400.51,378.66,674.38,620.14,561.04,483.63,523.29,554.30,623.39,598.55,614.49,554.11,510.00,582.40,305.93,396.74,622.75,454.32
1954,699.79,777.65,711.68,842.81,597.23,690.43,713.33,474.15,527.63,783.71,695.49,651.85,621.21,943.93,712.02,527.03,767.53,806.47,761.83,530.24,717.87,927.97,711.15,890.88,576.50,469.27,751.86,858.50,673.35,587.56,744.80,787.22,693.48,653.42,804.34,649.03,730.41,729.24,457.64,512.73,863.08,630.74
