Variable:,pr
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
1934,920.86,871.53,703.84,937.71,799.63,942.51,1640.13,920.65,1093.09,1168.60,878.95,704.70,1115.71,608.19,834.94,635.76,844.10,1000.21,905.19,1391.23,1016.29
1935,860.41,773.95,652.52,848.53,760.01,845.72,1570.03,855.65,1020.57,1124.57,785.65,647.75,1131.80,565.93,778.46,470.46,783.31,1055.39,824.22,1621.60,895.24
1936,864.91,847.85,680.16,825.26,766.07,912.35,1447.06,865.74,1157.42,1120.91,824.03,686.33,1188.99,592.01,735.46,483.85,814.75,891.43,862.13,1569.38,894.34
1937,1055.02,1151.32,830.73,905.78,983.73,1190.65,1920.02,1222.52,1209.00,1302.65,1275.29,907.25,1191.67,738.25,775.75,419.83,1132.24,1135.01,1250.42,1538.27,1200.19
1938,736.27,765.13,571.38,833.99,679.85,680.58,1159.85,803.66,825.46,893.11,769.18,606.09,904.80,487.42,696.78,570.48,670.08,735.91,783.18,1269.80,618.24
1939,918.78,1039.65,844.30,1012.56,942.42,844.30,1343.41,1063.19,926.29,1085.04,975.29,841.93,1054.29,731.58,814.03,564.52,855.35,987.21,1005.78,1541.01,797.41
1940,878.91,990.64,791.17,987.33,897.38,842.00,1440.17,1015.81,833.32,981.23,956.97,789.05,998.88,670.20,768.86,503.03,836.12,914.31,995.68,1459.20,900.15
1941,898.87,954.55,735.90,937.92,892.25,937.60,1374.51,1017.52,1119.50,1084.02,945.47,782.39,1123.32,618.87,736.16,530.94,900.52,859.47,990.77,1405.25,870.68
1942,761.85,760.55,688.03,992.44,763.62,750.54,1109.73,814.07,813.33,866.09,753.73,637.09,842.34,566.23,603.67,623.59,740.01,804.51,795.00,1173.43,663.57
1943,749.16,750.56,645.32,923.05,731.99,746.77,1111.10,807.91,863.76,823.13,759.91,625.49,863.61,548.89,748.79,535.30,722.63,717.49,769.36,1175.61,698.30
1944,744.47,763.07,622.09,802.48,665.98,712.19,1340.08,757.71,679.24,877.39,777.19,612.72,814.11,587.31,593.36,543.81,669.27,972.79,747.84,1272.60,776.48
1945,602.17,500.27,596.14,790.15,612.52,533.07,1079.12,500.71,721.35,813.33,485.73,465.51,815.24,461.46,464.85,404.90,457.13,784.65,452.66,1179.95,535.16
1946,774.85,690.81,602.02,877.95,688.00,761.30,1191.60,792.86,843.84,930.57,775.24,562.39,963.09,451.97,872.00,517.07,740.17,824.48,803.82,1387.03,721.71
1947,768.72,743.53,566.13,634.23,682.30,883.77,1335.87,841.15,1002.79,1042.61,799.50,607.96,977.81,507.21,600.70,255.11,795.24,872.54,838.51,1249.19,866.22
1948,768.27,713.33,565.92,847.83,639.42,791.92,1577.94,703.58,894.54,1000.70,742.31,563.40,985.48,449.29,553.59,541.52,668.37,925.08,716.21,1354.62,933.40
1949,733.16,738.55,589.33,758.97,657.95,782.68,1244.90,786.98,834.96,862.77,723.92,603.32,826.95,560.82,603.32,499.24,735.32,790.60,766.94,1046.84,760.97
1950,757.62,686.04,638.09,988.27,688.96,693.17,1363.49,740.29,811.80,917.61,734.12,556.32,893.43,526.23,649.59,629.14,658.89,862.97,700.94,1324.83,744.95
1951,952.74,839.92,700.70,959.52,753.39,1040.04,1609.88,903.77,1287.55,1303.58,932.86,644.53,1343.18,613.05,642.47,626.68,901.68,1015.93,911.99,1708.78,1077.16
1952,722.71,687.60,563.62,748.80,633.68,684.89,1447.58,713.66,753.26,921.73,680.57,547.02,940.63,494.65,530.47,431.70,673.46,966.49,704.90,1426.87,785.03
1953,807.75,775.19,696.08,970.39,732.68,797.42,1283.81,795.40,831.59,929.16,755.63,646.69,858.32,562.10,695.30,811.76,711.99,853.01,779.82,1106.54,858.27
