Variable:,pr
,Spain,Andalucía,Aragón,"Principado de Asturias","Illes Balears",Canarias,Cantabria,"Castilla y León","Castilla-La Mancha",Cataluña/Catalunya,"Ciudad Autónoma de Ceuta","Comunitat Valenciana",Extremadura,Galicia,"Comunidad de Madrid","Ciudad Autónoma de Melilla","Región de Murcia","Comunidad Foral de Navarra","País Vasco/Euskadi","La Rioja"
1936,890.86,830.08,975.86,1260.04,751.17,475.90,1412.56,848.58,697.90,980.01,1151.90,703.11,729.82,1584.93,726.46,552.70,513.93,1223.62,1438.29,964.58
1937,751.75,657.11,589.66,1233.30,457.67,176.19,1296.28,833.29,585.96,628.79,821.50,391.22,747.07,1728.64,715.58,369.20,360.12,887.06,1124.37,746.65
1938,520.39,410.85,630.95,734.66,676.76,194.57,977.41,482.98,359.47,757.72,596.30,460.74,369.84,923.41,370.34,339.90,285.82,839.20,1022.87,647.40
1939,700.07,663.23,713.90,1011.63,638.95,255.15,1168.69,670.57,516.73,882.54,844.50,473.31,639.58,1269.00,537.77,335.10,327.72,918.47,1133.94,725.29
1940,685.61,571.52,665.38,1086.97,532.96,312.52,1287.39,716.12,525.79,648.84,797.40,424.89,603.95,1432.20,578.27,353.40,332.70,981.77,1225.67,798.11
1941,766.14,731.15,691.24,1128.20,577.03,296.80,1221.10,757.58,627.63,803.31,891.40,497.36,727.18,1444.40,658.52,399.10,413.56,955.79,1164.52,789.15
1942,674.20,706.30,610.26,982.91,589.77,220.48,1045.68,618.98,535.45,698.17,915.80,470.12,629.74,1314.19,531.83,389.50,390.71,808.95,995.54,639.15
1943,641.04,521.39,684.14,934.62,796.03,350.66,980.55,599.51,478.92,900.50,615.10,578.59,517.94,1273.28,488.75,442.90,383.90,778.22,929.72,590.49
1944,502.37,448.36,482.05,792.93,645.19,271.39,863.91,462.55,410.01,650.67,550.90,373.65,382.37,954.24,397.11,277.50,327.46,655.63,807.98,505.77
1945,496.57,389.23,571.52,837.89,346.32,254.03,880.54,469.55,339.55,552.96,619.90,365.65,371.46,1176.93,366.22,244.00,221.76,768.72,927.19,572.11
1946,649.78,611.94,659.27,1002.38,663.76,365.29,989.34,565.12,509.59,767.26,815.10,572.54,475.03,1405.39,465.33,461.80,461.75,763.72,919.42,598.38
1947,735.59,735.73,632.91,1069.68,563.24,154.88,1054.78,702.92,628.84,622.82,849.80,537.26,687.68,1553.39,645.30,361.20,467.25,838.15,1022.51,695.02
1948,590.03,585.98,456.22,894.34,589.51,196.07,831.13,539.45,477.65,631.76,646.40,486.25,541.39,1320.19,448.15,448.50,461.03,594.94,755.35,479.26
1949,572.15,522.11,576.55,826.26,502.80,432.16,987.55,514.90,484.93,644.19,636.30,589.66,432.94,976.49,427.13,425.20,492.41,737.21,951.46,601.55
1950,503.30,430.16,490.55,853.17,510.03,415.06,929.84,473.53,348.37,538.80,492.00,408.36,402.41,1131.77,332.82,416.80,302.00,726.35,930.37,590.04
1951,793.89,654.74,798.26,1150.06,812.06,392.14,1186.25,753.63,665.58,993.84,752.30,653.79,627.45,1591.89,706.53,380.30,488.96,961.24,1182.71,779.53
1952,634.97,587.42,534.15,1090.91,497.00,320.43,1180.99,636.57,498.88,588.76,585.10,374.26,563.11,1357.40,495.94,383.30,357.87,846.01,1113.59,694.46
1953,534.29,458.40,561.55,783.11,538.34,607.68,860.68,498.09,388.94,697.47,672.20,467.34,423.58,1000.04,413.11,320.40,322.86,730.78,903.38,591.83
1954,495.26,384.62,515.00,879.97,578.89,419.89,959.01,472.06,330.66,659.80,524.80,393.22,301.18,1119.44,323.70,437.80,359.08,732.37,926.01,581.20
1955,765.95,705.65,636.45,1229.71,610.06,149.39,1159.20,798.79,576.57,811.18,1032.30,461.18,711.28,1760.75,647.29,392.30,347.35,823.46,1055.72,699.57
1956,647.63,557.83,660.42,999.58,576.18,508.50,1004.38,619.72,514.51,729.14,866.10,499.50,532.43,1341.29,543.72,411.80,350.25,801.59,956.32,630.65
1957,580.03,567.54,591.41,747.00,740.34,432.39,763.89,476.02,508.49,782.52,683.10,587.30,446.69,989.41,458.54,461.20,478.14,617.15,739.99,494.11
1958,626.15,512.86,528.39,1064.45,580.51,348.72,1072.50,658.35,465.10,620.96,634.10,437.59,519.33,1481.74,511.70,379.00,344.33,806.20,1060.26,673.27
1959,813.68,558.39,874.65,1311.86,736.02,283.27,1352.42,834.80,654.99,996.16,658.60,694.57,554.16,1772.51,668.56,356.60,518.44,1078.85,1305.30,873.39
1960,878.73,834.22,818.72,1390.07,623.14,296.94,1327.11,840.59,660.36,976.60,1020.60,605.37,793.77,1942.63,684.53,434.80,459.13,991.96,1233.15,792.51
1961,685.32,642.92,610.02,1133.44,412.62,156.84,1142.23,727.62,521.77,601.09,756.90,393.76,606.50,1496.11,563.89,248.20,303.97,887.24,1098.73,718.55
1962,716.12,775.04,658.72,918.20,899.99,369.52,998.84,605.79,618.79,899.64,883.10,592.20,611.87,1185.59,593.72,458.70,478.42,810.85,990.09,643.46
1963,857.94,934.43,694.88,1186.24,731.19,180.32,1096.41,803.04,691.70,963.72,1184.50,506.13,837.81,1769.45,724.65,606.50,458.46,876.28,1073.97,703.11
1964,552.16,493.62,566.17,868.27,540.50,254.86,931.99,512.84,393.36,755.95,680.00,395.86,461.95,1107.53,397.86,372.40,289.95,720.04,893.70,563.09
1965,671.76,586.93,613.51,1038.90,487.27,300.94,1142.27,644.50,530.34,758.18,758.40,481.78,584.37,1416.77,535.08,438.10,400.85,898.14,1150.29,719.24
1966,677.98,467.49,590.49,1227.09,516.96,209.72,1241.26,771.46,504.57,623.62,504.80,387.24,598.08,1684.81,591.61,247.20,307.49,929.48,1193.91,769.66
1967,559.67,515.81,539.59,854.90,529.84,478.22,1018.19,518.38,427.98,662.12,672.00,465.55,462.71,1013.34,431.13,409.70,374.75,754.93,1006.58,620.10
1968,629.98,568.12,618.08,1022.83,516.12,438.83,1034.29,569.60,455.86,756.95,714.60,474.19,531.82,1393.97,407.18,431.00,392.11,821.13,1009.54,637.34
1969,866.66,917.51,888.62,1147.42,766.11,330.91,1122.25,725.38,702.25,1050.31,1172.70,736.59,756.45,1606.75,643.35,549.80,564.61,1003.81,1129.17,761.56
1970,557.26,630.74,497.67,873.15,558.96,332.60,916.47,502.89,356.97,636.45,919.60,381.12,485.94,1146.72,354.48,297.80,311.86,691.33,877.46,545.07
1971,753.19,619.69,866.82,1133.92,719.63,462.98,1195.32,683.00,605.45,1027.83,790.60,758.93,514.88,1325.22,542.66,528.70,555.66,1025.61,1172.97,804.78
1972,815.77,712.74,848.30,1138.29,845.04,394.90,1208.21,763.41,661.59,1031.53,852.10,760.05,648.28,1504.51,692.27,432.60,578.76,967.35,1178.54,760.89
1973,523.58,439.21,487.19,905.07,566.84,212.11,976.60,536.93,403.87,561.40,541.00,401.93,388.76,1077.63,427.54,464.90,344.09,687.21,905.69,559.55
1974,583.70,399.76,654.60,967.61,585.28,208.85,1062.81,561.87,447.06,724.84,453.80,558.34,366.89,1267.66,408.55,346.40,430.64,889.83,1085.04,687.87
1975,629.43,525.61,667.47,976.31,664.54,190.37,1106.08,578.41,518.95,788.79,675.60,597.72,476.42,1156.24,497.01,429.90,424.83,811.58,1036.78,645.84
1976,709.81,738.40,608.65,991.36,606.04,245.02,1030.79,653.64,606.31,784.83,983.30,527.88,631.90,1315.40,617.45,537.10,471.89,806.36,1018.59,641.20
1977,774.76,584.55,784.06,1249.37,701.70,288.67,1213.16,770.11,577.60,1004.44,706.90,625.83,644.54,1718.40,611.82,338.60,437.21,948.47,1138.68,777.59
1978,662.88,520.91,467.41,1195.90,579.57,290.86,1139.72,744.50,497.85,590.84,673.80,322.84,641.07,1741.07,609.08,326.80,295.64,760.60,1012.50,630.49
1979,761.51,629.07,660.16,1317.61,677.57,416.56,1382.32,778.97,558.53,805.22,737.90,472.20,663.34,1767.34,583.20,420.00,382.32,1019.28,1337.69,833.21
1980,563.21,469.90,528.53,953.49,563.51,342.14,1084.16,546.07,453.41,586.62,582.50,486.95,386.56,1155.01,428.36,384.80,422.51,808.24,1047.69,663.07
1981,547.63,385.37,569.93,878.18,471.28,283.20,929.80,548.64,421.56,691.14,481.80,395.11,423.97,1251.04,455.70,229.30,288.73,724.05,915.17,583.98
1982,602.59,465.23,712.07,893.94,616.55,298.29,967.38,526.32,458.69,922.12,616.00,616.90,398.35,1164.31,436.90,307.00,403.65,817.79,993.70,629.26
1983,538.16,465.52,497.81,966.85,416.85,183.94,937.86,542.70,335.92,602.18,500.00,338.25,493.10,1307.78,350.39,162.50,265.17,707.90,897.53,562.00
1984,664.34,486.45,602.61,1154.70,572.22,375.69,1176.97,695.12,502.71,748.49,533.10,416.20,560.23,1588.63,554.09,248.00,315.47,866.49,1107.37,710.31
1985,564.41,485.83,501.39,950.61,580.36,309.94,919.69,554.04,396.85,573.31,589.30,419.76,522.84,1363.28,400.95,241.40,332.54,676.90,852.68,551.28
