Variable:,pr
,Cyprus,"Girne (Kyrenia)",Famagusta,Larnaca,Limassol,Nicosia,Paphos,"Sovereign Base Areas of Akrotiri and Dhekelia (U.K.)"
1989,349.46,325.21,335.34,301.63,414.10,351.33,401.71,347.27
1990,295.80,279.34,283.76,252.07,354.50,298.38,335.42,296.40
1991,606.62,557.48,598.92,553.07,714.50,601.65,676.38,615.77
1992,431.30,400.24,407.45,400.50,521.20,430.32,476.16,438.93
1993,350.51,318.55,311.39,305.66,437.70,352.14,414.94,353.29
1994,601.63,556.68,601.20,544.42,699.50,599.90,674.35,605.28
1995,300.39,284.94,292.45,253.86,336.10,309.15,352.45,287.76
1996,489.34,455.68,465.32,429.86,571.10,495.63,563.01,482.50
1997,428.30,401.90,394.04,366.22,503.20,438.09,505.60,418.26
1998,436.18,402.98,417.08,390.30,506.60,439.24,502.39,432.28
1999,290.49,272.89,271.30,247.64,348.70,294.79,340.59,288.24
2000,493.39,453.06,478.62,444.64,581.90,492.21,559.64,495.32
2001,505.94,462.05,493.98,457.83,592.50,502.96,574.51,508.58
2002,438.03,403.05,423.55,395.81,518.80,436.83,494.66,441.64
2003,585.69,532.80,547.62,530.25,705.00,584.19,678.53,588.99
2004,500.05,447.82,463.04,447.85,613.90,496.70,594.12,504.00
2005,389.97,359.02,370.34,352.97,462.20,391.24,444.93,390.13
2006,368.42,348.62,356.96,321.62,430.50,373.13,421.52,365.77
2007,443.22,407.83,419.93,399.14,527.50,443.45,503.84,445.39
2008,278.42,263.35,288.84,247.89,319.00,277.62,302.92,281.00
2009,613.16,571.73,582.15,533.85,727.40,617.93,703.92,610.59
2010,418.97,395.12,403.68,350.62,497.20,423.64,491.12,415.27
2011,515.79,470.76,510.12,468.75,612.50,509.23,577.08,525.46
2012,711.06,664.07,706.81,637.67,830.60,711.94,788.35,713.20
2013,340.57,312.04,323.47,315.27,403.90,339.20,384.76,345.00
2014,454.68,439.03,410.90,374.96,545.40,469.22,530.71,445.61
2015,493.38,450.95,460.99,437.71,594.10,495.47,573.09,494.50
2016,402.25,380.98,425.96,368.08,447.30,403.36,427.14,401.56
2017,346.53,340.58,342.84,281.10,392.40,358.14,391.88,333.78
2018,550.49,513.29,566.92,502.56,635.00,547.65,600.54,555.30
2019,630.67,596.00,639.52,552.83,727.80,633.65,700.73,629.76
2020,485.64,430.41,456.31,465.96,596.70,475.60,546.94,502.71
2021,407.53,386.22,427.12,370.06,453.20,408.41,436.71,404.81
