Variable:,pr
,Finland,Aaland,"Eastern Finland",Lapland,Oulu,"Southern Finland","Western Finland"
2002,504.33,423.04,538.55,484.38,528.18,491.91,487.99
2003,543.40,463.29,630.11,473.27,549.79,597.78,534.53
2004,663.44,495.11,720.40,583.69,695.24,732.91,662.43
2005,627.97,510.36,635.20,614.22,643.38,652.52,615.39
2006,509.88,510.85,547.60,454.62,531.16,523.76,527.91
2007,642.74,528.82,671.93,587.42,681.02,665.87,648.97
2008,697.19,615.49,760.47,597.04,742.10,756.02,712.51
2009,550.38,497.67,615.11,486.71,575.56,600.72,538.78
2010,568.56,506.71,595.08,541.41,592.93,589.62,554.03
2011,640.83,496.95,673.84,586.19,643.93,703.92,653.04
2012,723.37,663.98,806.16,605.64,729.56,827.49,756.82
2013,545.82,445.84,611.40,480.68,575.24,581.11,537.80
2014,553.81,489.20,579.01,508.63,591.64,581.93,548.62
2015,641.22,514.40,670.89,591.23,694.64,634.05,640.46
2016,651.22,477.23,712.09,609.13,693.75,683.07,607.40
2017,624.03,566.54,711.93,542.06,597.79,732.88,632.40
2018,496.45,401.30,554.14,484.71,501.95,525.61,448.99
2019,646.25,566.09,713.46,569.78,664.06,707.32,649.39
2020,648.50,557.30,704.42,580.51,630.85,714.03,675.61
2021,629.66,508.75,682.98,566.38,638.12,679.69,638.48
