Variable:,pr
,Austria,Burgenland,Karnten,Niederosterreich,Oberosterreich,Salzburg,Steiermark,Tirol,Vorarlberg,Wien
1964,1149.87,715.56,1553.08,796.22,1207.61,1475.44,1318.30,1119.16,1054.34,627.89
1965,1316.39,886.27,1825.45,926.43,1285.53,1591.16,1529.77,1282.87,1353.13,777.15
1966,1301.04,832.46,1610.25,912.70,1413.29,1687.69,1393.97,1385.34,1310.00,738.83
1967,1041.40,627.96,1367.35,721.87,1085.70,1351.50,1147.87,1083.12,1043.70,572.20
1968,1012.92,615.95,1370.26,669.98,1032.84,1289.60,1123.68,1075.72,1097.01,545.79
1969,989.20,730.00,1377.66,747.90,903.92,1098.74,1226.70,890.87,957.35,650.98
1970,1222.33,691.32,1522.69,822.06,1324.00,1586.13,1361.08,1299.29,1321.42,623.79
1971,818.44,526.19,1057.85,600.33,828.50,979.56,919.51,843.42,849.37,494.74
1972,1098.63,814.05,1557.62,805.37,1026.33,1236.68,1419.88,946.24,897.70,664.48
1973,1026.19,604.00,1413.83,673.68,1011.27,1296.72,1198.75,1052.59,1106.21,524.34
1974,1132.90,662.76,1382.64,768.53,1313.15,1484.07,1221.91,1167.16,1233.82,578.38
1975,1088.17,693.02,1495.17,770.98,1073.71,1373.32,1255.65,1064.78,1036.50,641.37
1976,994.26,632.91,1320.74,738.67,1021.53,1217.35,1116.37,975.01,952.28,593.34
1977,1034.23,563.24,1341.48,694.11,1137.43,1383.10,1070.81,1135.01,1092.53,531.56
1978,974.93,520.49,1452.09,560.39,950.56,1341.24,1059.25,1100.05,1075.96,425.33
1979,1285.02,801.12,1753.22,873.86,1241.33,1641.48,1446.13,1379.91,1253.74,723.37
1980,1078.03,661.55,1479.01,723.50,1125.51,1405.68,1203.78,1085.80,1062.52,591.53
1981,1095.97,595.01,1332.30,699.13,1207.21,1472.05,1119.05,1295.94,1348.03,528.44
1982,1032.12,723.49,1402.79,698.61,963.71,1261.82,1236.58,1046.20,1058.71,582.93
1983,942.37,523.18,1201.39,603.29,978.13,1274.46,1003.29,1084.96,1071.67,474.04
1984,978.45,616.78,1318.21,715.30,965.38,1194.90,1082.72,1004.41,1031.67,605.66
1985,1128.86,739.09,1459.40,831.16,1218.40,1438.26,1296.38,1043.16,973.55,686.38
1986,996.72,597.89,1332.61,661.17,999.41,1252.08,1144.21,1043.54,1111.06,506.08
1987,1181.42,744.18,1576.45,828.21,1212.18,1533.85,1300.20,1217.14,1129.31,691.48
1988,1117.44,636.46,1362.17,758.04,1275.37,1489.79,1202.59,1175.80,1177.17,578.73
1989,1051.32,658.67,1362.67,750.07,1107.76,1319.74,1251.62,999.44,908.43,585.22
1990,1109.50,684.27,1526.98,739.26,1117.76,1435.02,1263.05,1134.15,1105.60,595.68
1991,1080.48,749.40,1434.48,760.85,1088.87,1349.09,1315.12,1001.12,950.55,618.78
1992,1066.12,638.16,1442.43,699.64,1060.80,1363.94,1218.12,1132.90,1105.11,544.79
