Variable:,pr
,Greece,"Anatoliki Makedonia Kai Thraki",Attiki,"Dytiki Ellada","Dytiki Makedonia","Ionioi Nisoi",Ipeiros,"Kentriki Makedonia",Kriti,Peloponnisos,"Sterea Ellada",Thessalia,"Voreio Aigaio","Notio Aigaio"
1951,842.84,735.62,624.23,1047.53,829.82,1362.06,1336.32,655.55,761.10,871.95,787.96,818.46,763.80,670.55
1952,737.49,699.44,569.10,923.61,711.10,1194.22,1159.48,558.03,623.72,798.34,679.75,670.48,831.42,648.80
1953,711.06,597.64,573.57,849.00,705.56,1054.32,1088.49,531.38,782.62,743.33,685.13,681.59,630.05,665.49
1954,870.60,743.51,649.47,1069.78,850.84,1459.37,1450.75,631.24,1106.66,864.43,765.15,806.92,816.46,859.16
1955,828.24,831.26,616.63,938.31,861.62,1163.09,1209.93,717.03,696.25,794.10,769.73,822.40,740.94,638.93
1956,787.66,730.77,474.05,1019.32,840.91,1382.08,1401.75,598.41,618.66,752.01,668.39,751.58,591.46,520.06
1957,685.09,617.87,520.59,758.14,717.53,1012.44,1068.04,547.01,950.60,634.36,594.89,651.78,498.30,565.09
1958,667.73,577.32,475.38,841.81,715.25,1173.04,1159.91,473.57,602.19,707.66,586.14,615.60,579.75,524.21
1959,740.38,643.44,429.82,897.97,889.30,1239.17,1338.49,598.35,590.01,634.30,619.12,759.75,559.40,471.78
1960,800.51,754.31,511.90,968.53,855.77,1339.81,1367.09,628.30,740.49,729.33,707.33,767.97,720.74,656.99
1961,624.27,629.24,475.19,706.12,606.56,923.26,944.83,474.93,919.59,624.63,530.04,532.89,623.39,657.88
1962,928.46,741.53,708.20,1174.22,901.09,1468.14,1478.64,659.40,1073.09,981.56,871.71,867.63,863.20,775.60
1963,815.40,724.54,540.42,963.46,881.46,1279.03,1347.03,639.50,856.20,769.69,710.80,788.10,651.74,592.37
1964,635.68,643.28,387.44,670.74,753.89,936.55,1066.75,536.27,701.70,519.06,515.88,617.67,661.64,469.50
1965,663.23,602.95,518.84,811.67,628.24,1004.57,1000.89,459.70,847.92,724.09,592.71,588.01,803.91,712.64
1966,800.37,823.89,546.25,1001.86,808.95,1347.10,1307.24,573.82,697.83,812.83,704.63,734.75,817.91,711.33
1967,643.97,592.86,520.13,693.23,666.43,866.12,895.10,529.41,822.44,684.04,576.45,584.25,506.96,601.07
1968,810.97,662.04,711.81,1013.07,743.36,1226.94,1160.08,557.01,920.21,986.74,795.75,720.64,694.64,738.48
1969,709.15,644.10,461.65,851.58,779.79,1195.53,1208.79,545.55,681.91,712.73,584.17,669.02,688.61,720.85
1970,623.44,615.36,425.07,723.74,700.65,996.34,1001.10,503.89,565.47,608.76,520.69,588.73,618.44,552.04
1971,747.64,784.36,527.77,877.76,753.31,1144.64,1174.30,588.31,723.10,725.58,655.44,693.88,714.14,641.26
