Variable:,pr
,Bulgaria,Blagoevgrad,Burgas,Dobrich,Gabrovo,Haskovo,Jambol,Kardzhali,Kustendil,Lovech,Montana,Pazardzhik,Pernik,Pleven,Plovdiv,Razgrad,Ruse,Shumen,Silistra,Sliven,Smoljan,Sofia,Sofia-city,"Stara Zagora",Targovishte,Varna,"Veliko Tarnovo",Vidin,Vratca
1926,529.00,571.71,464.21,408.04,549.57,496.07,461.08,553.27,605.28,556.37,585.85,577.83,621.36,508.43,541.90,491.93,491.79,472.23,456.90,511.36,634.43,615.72,599.11,506.26,511.63,428.44,504.95,595.74,559.63
1927,644.42,706.04,561.77,441.03,688.68,644.78,588.52,698.69,727.76,690.22,686.20,742.73,738.82,609.04,697.09,555.93,568.87,541.75,494.77,638.16,801.22,763.43,736.52,651.05,602.45,489.88,613.65,674.53,669.54
1928,599.39,655.37,560.93,455.98,637.23,621.85,574.76,683.79,634.37,622.27,580.48,672.01,621.07,552.62,638.24,547.36,546.64,540.59,496.15,612.87,755.10,666.13,636.06,609.22,585.94,497.35,579.24,548.11,587.50
1929,674.19,792.20,562.75,449.84,707.51,684.72,598.11,766.10,798.02,712.10,699.39,806.84,790.40,619.69,736.53,570.44,581.26,555.64,501.48,650.38,882.80,806.48,775.89,673.66,619.39,500.48,627.27,680.81,683.04
1930,612.30,727.49,523.12,473.42,637.92,610.91,540.51,711.50,660.71,631.02,615.26,701.94,655.50,564.61,647.13,566.81,558.95,548.31,526.02,596.12,817.12,686.43,658.64,602.12,594.39,495.29,580.79,591.35,610.34
1931,717.50,761.12,661.35,568.19,764.27,728.24,682.18,783.94,741.81,748.38,724.59,786.50,757.64,669.64,751.39,672.51,667.61,659.87,611.84,733.86,880.92,795.24,763.34,727.11,710.59,612.59,697.91,689.59,719.41
1932,472.88,455.80,438.59,443.23,484.21,410.55,426.46,429.91,496.62,481.08,546.62,458.89,527.92,463.68,436.38,510.08,492.36,484.06,497.26,470.69,490.66,517.47,508.97,436.03,500.24,446.14,468.64,589.75,508.11
1933,725.49,692.56,726.74,664.57,794.09,705.14,731.11,729.13,678.77,743.59,693.47,735.29,692.02,684.27,728.96,755.45,736.86,734.42,712.95,796.74,818.51,750.13,711.33,745.92,783.34,685.20,748.42,691.07,695.55
1934,512.37,576.03,416.99,384.80,537.70,457.84,417.90,502.73,609.09,554.58,584.77,575.48,626.58,505.23,526.34,474.15,479.67,445.31,443.62,472.90,604.18,619.54,608.98,484.06,487.66,402.78,489.84,595.07,560.29
1935,622.84,633.38,611.21,509.11,660.80,649.49,618.71,698.46,619.61,639.25,611.40,663.27,625.91,579.94,643.44,588.64,582.26,588.04,534.70,655.47,758.55,666.33,635.65,635.37,626.84,554.17,610.04,585.03,610.59
1936,687.33,833.41,616.40,513.38,704.99,696.79,632.09,785.82,781.33,696.19,663.78,819.43,769.09,596.61,745.84,596.61,589.08,598.14,541.71,677.88,938.99,793.34,766.32,685.04,637.67,561.36,628.55,613.83,655.29
1937,790.95,896.78,676.13,599.70,826.39,775.67,698.25,847.75,896.03,830.84,839.28,905.15,903.67,734.94,837.64,708.99,710.55,690.23,644.73,772.89,987.16,925.46,894.16,782.88,745.87,636.19,744.29,821.24,816.79
1938,590.16,648.69,537.44,440.69,617.43,606.26,554.24,656.31,647.99,616.36,613.08,656.54,654.54,549.18,617.71,523.56,526.52,514.62,474.68,589.23,733.75,674.33,651.72,589.01,559.49,478.57,558.09,599.52,601.67
1939,724.43,755.63,666.19,597.16,772.36,696.92,678.05,740.64,765.73,763.00,757.80,780.78,783.09,691.68,744.68,688.08,686.91,669.88,636.39,738.41,845.48,813.57,782.12,721.30,714.46,621.39,708.59,754.07,743.56
1940,843.25,906.70,788.57,692.47,886.44,910.17,822.02,985.16,877.09,855.01,789.53,938.77,877.20,738.82,899.05,778.70,756.06,784.75,723.12,869.13,1077.16,928.20,890.10,867.92,821.42,730.35,794.53,740.47,793.65
1941,725.15,694.38,677.32,655.36,770.43,666.32,673.02,678.31,734.35,766.68,772.08,738.51,775.01,716.42,709.47,758.96,739.82,721.78,724.30,737.37,774.37,806.22,784.23,702.88,761.32,666.95,728.53,763.26,764.04
1942,598.81,640.72,546.14,432.73,637.02,580.89,553.75,614.53,654.27,645.49,650.20,650.29,665.53,593.25,611.98,543.92,560.95,523.19,488.85,600.48,702.65,688.81,665.38,588.48,588.01,481.34,591.52,641.32,639.37
1943,607.79,596.91,632.60,587.03,643.33,603.74,619.01,626.63,585.90,602.27,553.08,617.33,587.77,549.65,601.53,640.15,608.02,638.32,610.55,653.39,687.18,621.38,596.52,607.71,652.81,605.69,608.52,536.35,556.75
1944,758.51,825.98,667.11,553.03,815.89,747.99,692.83,818.64,824.08,813.17,785.44,854.14,832.19,724.42,806.33,690.70,702.19,663.29,618.31,760.95,939.61,875.73,840.08,765.12,737.86,602.83,741.78,754.71,783.30
1945,456.75,520.08,434.51,398.57,441.55,463.74,422.92,532.41,520.63,439.03,463.61,496.30,519.62,397.00,455.96,429.83,408.75,432.12,411.55,435.88,579.52,502.29,494.77,428.31,436.44,417.35,412.39,455.80,437.58
1946,575.30,625.96,536.50,450.47,593.54,622.34,553.39,690.32,594.69,578.23,574.41,633.01,600.78,515.01,604.56,526.68,512.33,526.57,479.61,580.62,748.94,623.32,599.31,583.21,562.84,490.56,544.03,541.29,561.66
1947,584.09,576.82,580.78,497.51,628.17,597.95,584.51,625.48,569.39,596.07,562.70,600.86,569.86,550.83,589.67,589.51,581.65,571.90,544.33,626.91,686.82,609.09,579.09,592.92,619.63,527.77,594.12,548.12,560.37
1948,491.87,529.87,460.67,371.26,510.61,484.49,468.35,509.71,545.12,506.15,520.92,533.13,558.41,456.99,499.92,453.71,453.39,448.84,418.13,494.07,586.12,559.31,547.29,480.34,485.29,410.24,473.34,527.65,497.02
1949,595.61,643.09,557.19,476.32,615.96,581.20,566.71,614.41,663.12,604.53,634.23,639.14,672.34,551.72,598.49,557.91,553.81,543.66,516.94,611.78,700.89,673.93,655.09,581.57,575.55,507.36,566.58,638.24,603.57
1950,489.34,565.74,444.83,368.03,493.67,503.19,452.55,549.94,554.70,498.19,512.62,549.22,544.92,450.60,506.44,432.79,431.95,425.98,397.29,477.81,621.70,552.26,533.03,477.42,458.14,399.19,454.75,509.79,496.06
1951,619.59,745.45,546.94,399.75,633.99,638.61,573.00,727.97,727.98,650.38,659.61,742.19,728.51,568.65,671.49,492.75,511.45,474.18,427.61,577.72,833.45,752.62,725.42,610.50,537.90,442.89,552.69,648.09,634.44
1952,656.40,659.70,632.36,586.90,688.81,681.68,631.34,732.50,626.42,661.36,652.39,702.91,633.39,591.93,692.00,634.59,608.51,643.39,601.25,681.99,798.53,688.54,652.69,678.15,665.61,595.21,629.03,657.23,637.07
