Variable:,pr
,Estonia,"Harju maakond","Hiiu maakond","Ida-Viru maakond","Järva maakond","Jõgeva maakond","Lääne-Viru maakond","Lääne maakond","Pärnu maakond","Põlva maakond","Rapla maakond","Saare maakond","Tartu maakond","Valga maakond","Viljandi maakond","Võru maakond","Administrative unit not available"
1943,691.42,751.01,621.86,680.82,721.55,701.32,713.05,669.62,688.24,668.47,747.37,603.90,685.59,680.87,671.40,663.39,673.29
1944,649.38,742.04,626.21,612.82,691.94,646.74,676.94,663.36,663.95,581.19,733.30,602.01,599.95,605.74,632.63,586.18,592.43
1945,630.74,662.07,563.97,612.58,634.03,611.94,624.94,598.35,652.45,627.84,668.30,579.62,613.89,643.01,630.22,652.16,603.72
1946,552.99,574.72,498.02,547.45,558.47,544.45,552.79,520.71,563.75,555.12,587.94,502.73,551.47,557.19,545.75,566.08,538.92
1947,505.92,534.37,416.31,505.46,526.96,493.36,520.09,471.26,529.53,479.82,549.70,443.70,478.31,510.23,511.53,493.92,469.55
1948,666.51,678.57,559.54,664.91,673.72,677.55,666.64,612.69,680.72,667.81,689.52,583.27,672.51,681.27,672.60,682.35,665.00
1949,645.19,676.63,573.30,592.77,656.65,629.75,635.22,612.78,686.03,618.46,694.72,607.13,623.82,667.23,659.90,646.33,595.42
1950,668.02,712.19,622.12,617.75,680.56,629.60,645.66,645.68,707.01,627.10,718.28,653.26,625.20,700.96,694.27,664.01,615.46
1951,534.57,563.38,443.04,524.23,549.70,528.60,541.10,494.70,547.26,529.28,565.64,464.94,524.88,542.01,540.16,538.35,521.26
1952,767.18,824.28,663.57,747.55,800.08,748.72,778.50,725.51,799.71,722.11,830.67,694.67,729.57,762.99,776.77,739.12,722.39
1953,585.02,619.28,503.76,595.15,588.33,579.69,598.30,563.64,587.87,591.11,620.17,523.42,581.74,566.21,559.60,587.72,589.23
1954,699.18,755.83,629.35,664.67,727.32,692.15,703.84,682.26,727.12,652.19,760.75,629.30,674.75,700.32,708.30,666.91,645.26
1955,573.44,606.11,517.52,541.95,586.11,545.36,561.60,545.75,605.10,544.78,615.39,549.05,543.30,587.41,593.78,573.54,533.55
1956,648.93,686.96,544.78,618.90,662.83,636.74,652.88,607.06,664.52,638.36,690.56,591.37,640.78,667.77,651.28,658.68,617.73
1957,720.61,770.26,629.02,707.82,741.87,708.55,734.86,683.81,738.51,693.98,764.58,654.82,691.76,714.76,725.85,711.76,690.20
1958,551.60,574.31,493.86,538.95,551.92,545.70,552.52,511.79,561.69,547.78,575.54,517.15,547.07,562.32,558.99,561.70,530.81
1959,534.62,541.87,448.61,530.20,535.58,529.28,533.67,478.18,548.73,537.93,551.11,476.18,534.03,563.71,548.18,554.05,530.64
1960,649.45,701.54,590.40,611.29,667.07,629.47,646.82,613.31,660.00,637.96,696.18,587.07,640.37,668.95,657.56,659.67,613.73
1961,633.55,665.27,572.47,634.13,641.11,641.09,649.69,603.15,643.39,625.15,664.78,582.56,626.89,621.18,612.91,627.46,624.39
1962,737.10,795.53,637.92,714.52,761.55,728.97,739.33,697.30,744.26,732.03,787.74,646.23,733.56,736.08,729.53,741.91,717.65
1963,508.05,542.33,489.56,487.73,520.78,496.00,510.08,502.29,528.41,476.78,546.37,502.68,485.11,500.90,505.24,482.90,473.93
1964,481.30,513.92,451.36,446.44,492.22,461.56,469.12,476.83,518.17,438.34,523.51,466.99,448.77,489.15,500.08,462.33,429.77
1965,546.65,593.64,530.27,517.97,560.26,530.25,550.65,537.59,566.42,511.04,590.60,545.61,517.85,536.22,544.61,524.20,504.06
1966,688.54,682.92,547.16,727.98,709.22,716.14,712.83,601.11,678.90,712.02,692.64,568.80,704.94,702.48,696.39,703.13,714.16
1967,659.88,705.66,622.13,648.00,678.20,653.35,681.64,647.45,674.61,623.40,703.35,628.05,631.55,639.22,652.54,630.50,632.18
1968,546.36,583.54,461.72,545.78,563.85,540.63,559.38,506.25,539.94,554.90,573.85,459.57,542.04,551.11,547.32,568.89,534.38
1969,526.29,556.35,461.28,521.10,538.63,522.94,535.15,497.81,529.42,523.41,553.50,462.84,519.25,529.44,524.06,534.95,516.05
1970,605.53,658.76,529.83,587.64,614.40,580.63,601.54,579.71,624.19,592.69,651.77,549.16,583.37,613.81,601.79,604.04,578.63
1971,554.38,570.25,503.05,534.90,571.25,543.95,554.15,526.91,591.62,519.42,594.15,531.07,526.21,556.78,570.89,532.15,516.21
1972,593.59,638.58,534.62,540.35,607.12,570.94,584.90,581.30,632.81,551.91,648.05,556.40,571.98,616.87,603.54,574.58,537.70
1973,618.33,626.92,545.33,627.16,631.80,625.55,630.18,578.36,637.13,598.56,646.26,567.42,609.75,619.97,623.15,594.84,608.70
1974,617.05,702.43,638.56,571.50,631.95,571.86,612.16,632.18,646.67,566.10,685.68,637.22,563.45,597.41,602.89,582.73,547.87
1975,537.53,554.55,463.04,553.53,560.19,548.69,558.53,501.34,550.83,514.06,564.35,475.11,521.80,524.55,541.37,509.29,527.99
1976,478.39,500.25,421.15,459.49,486.83,460.78,467.23,451.55,497.24,477.44,513.57,441.27,464.02,486.34,484.73,498.88,449.61
1977,667.18,733.48,630.57,630.85,690.88,643.83,670.38,661.39,692.69,615.38,732.65,633.87,632.19,660.87,669.84,630.08,613.78
1978,758.01,753.90,622.62,737.16,774.09,763.63,744.88,702.37,796.95,750.56,801.85,665.75,759.67,785.26,780.17,768.83,731.68
1979,604.63,633.49,558.77,591.06,625.11,603.81,617.27,576.47,619.34,578.10,639.89,577.28,588.60,603.05,605.21,575.04,579.53
1980,650.69,689.73,661.90,607.24,656.56,620.26,631.40,648.65,700.22,591.62,700.36,695.25,606.08,658.20,657.44,609.20,587.88
1981,818.43,888.56,769.56,773.05,854.58,806.38,824.26,803.23,872.94,731.54,899.33,794.93,773.31,793.91,827.65,738.10,738.92
1982,578.72,619.66,511.98,577.31,599.40,587.72,597.22,550.25,578.41,564.27,610.65,510.70,572.49,573.28,565.49,564.05,572.26
1983,686.22,715.15,597.53,673.51,722.83,686.70,696.44,637.25,715.41,643.83,724.87,625.44,656.69,691.26,711.11,654.71,647.28
1984,625.45,703.11,627.93,584.02,648.40,598.38,626.23,640.51,655.00,555.94,697.33,623.39,577.01,606.47,620.45,570.36,566.34
1985,708.25,728.12,590.68,680.20,717.27,711.55,697.77,650.40,725.54,713.21,741.18,621.37,717.17,744.40,721.63,740.30,678.99
1986,691.94,748.83,594.48,680.75,714.02,673.39,697.21,662.14,714.77,662.60,745.22,611.31,665.02,697.65,690.73,670.10,664.59
1987,692.09,698.53,570.35,704.10,695.36,719.69,696.48,623.99,684.47,722.21,705.91,590.63,723.42,706.46,686.56,716.73,716.06
1988,687.27,724.08,645.94,654.25,699.11,673.39,675.20,662.71,707.28,672.85,735.26,660.43,670.08,692.01,688.87,689.99,656.53
1989,642.21,667.14,581.53,642.93,652.59,651.36,658.71,598.11,639.25,639.30,663.51,595.76,639.48,640.98,639.22,641.38,637.64
1990,812.36,853.97,714.35,776.69,845.02,810.36,811.10,755.41,845.02,785.69,865.42,752.71,796.21,809.13,820.79,801.69,769.12
1991,674.52,689.73,606.66,661.25,692.57,680.17,671.64,627.63,694.23,666.75,701.22,618.08,671.01,688.69,682.78,673.74,656.56
1992,598.20,664.84,575.20,540.76,614.27,564.22,590.12,602.42,638.99,543.23,659.34,596.24,550.68,597.58,606.83,569.21,525.34
1993,655.98,677.41,551.24,629.13,671.59,659.24,647.38,604.34,678.23,643.01,694.25,587.97,661.31,682.35,670.21,654.50,631.15
1994,626.11,674.98,578.37,586.65,638.03,603.92,605.63,610.63,655.01,603.23,675.73,599.17,600.01,636.22,633.28,625.36,574.62
1995,652.85,672.31,551.02,632.58,674.36,664.63,657.48,596.14,665.33,641.76,674.76,589.63,657.38,673.03,668.63,648.30,632.17
1996,576.89,625.28,508.74,551.51,598.79,562.75,582.80,553.48,596.42,543.09,623.79,529.88,551.92,578.39,586.14,555.45,538.69
1997,699.13,689.68,580.54,665.66,714.37,708.71,665.22,632.20,729.64,711.28,723.01,623.51,704.83,746.66,736.44,738.56,672.86
1998,739.26,773.05,604.66,742.00,755.90,757.23,758.11,672.80,742.24,738.84,773.92,626.72,747.77,751.95,729.23,742.09,743.05
1999,613.27,661.83,564.85,543.21,645.02,594.68,595.51,605.34,664.88,558.75,675.64,599.51,578.22,609.32,640.43,563.14,551.28
2000,660.23,705.61,599.43,662.36,682.14,655.15,678.64,631.32,670.85,635.38,708.23,603.19,637.73,640.42,652.92,640.07,633.25
2001,768.46,805.34,665.62,699.24,790.03,762.07,743.73,728.84,812.85,749.78,823.67,701.22,758.20,790.50,787.16,774.31,727.39
2002,528.45,543.91,451.91,475.62,545.65,505.42,506.28,495.20,573.91,506.35,569.52,511.02,510.13,556.62,556.07,529.21,471.78
2003,626.51,637.44,493.84,642.01,634.35,632.63,639.47,546.22,619.01,665.04,637.36,517.62,649.04,652.37,626.90,659.59,637.63
2004,724.14,786.11,595.21,724.42,756.03,733.22,751.48,684.43,738.67,695.47,778.05,587.39,713.08,711.46,718.38,691.83,705.61
2005,635.79,675.22,552.85,624.63,658.47,639.34,653.29,601.85,647.48,613.28,675.40,565.24,627.51,635.05,630.92,625.97,604.49
2006,552.50,587.07,495.56,515.77,564.26,541.77,540.27,520.83,562.55,557.18,580.62,505.56,545.95,571.32,560.19,572.85,535.09
2007,692.79,753.93,650.66,633.12,728.31,661.91,676.88,697.81,748.43,615.29,774.27,685.52,640.86,676.40,715.68,634.03,614.08
2008,781.37,857.33,675.98,767.38,827.88,790.17,811.24,740.58,793.82,734.59,846.56,674.11,758.07,752.26,783.47,722.95,754.41
2009,714.63,729.57,598.39,696.39,725.55,721.04,700.86,651.01,731.43,731.39,751.24,627.22,715.39,731.53,725.83,742.50,716.33
2010,749.50,760.88,625.56,698.19,767.46,732.83,722.92,690.52,804.88,730.32,798.04,705.97,725.69,780.73,779.76,763.19,705.08
2011,673.60,736.98,593.95,663.81,699.34,665.51,695.67,657.52,695.06,627.48,730.31,601.57,651.09,648.22,672.63,613.78,642.78
2012,843.93,918.79,774.11,827.92,879.35,833.21,865.63,824.77,874.02,773.24,917.37,782.79,800.36,813.81,843.66,781.13,796.08
2013,596.24,615.48,523.81,573.68,604.07,585.16,590.76,554.36,616.99,595.48,623.24,552.48,587.34,617.33,604.68,610.96,571.56
2014,635.17,653.90,543.93,609.14,643.69,635.90,632.56,584.52,643.33,645.74,660.28,565.77,646.07,665.20,640.62,664.53,618.64
2015,578.29,640.49,541.25,567.91,604.82,570.57,597.78,562.94,586.81,542.19,633.71,533.59,544.70,558.24,562.09,551.37,544.31
2016,694.77,709.64,549.43,720.28,706.02,703.07,718.75,609.43,690.45,723.23,708.28,584.82,713.02,702.09,688.45,719.72,708.40
2017,788.71,802.18,673.46,784.73,800.26,781.78,788.76,715.75,797.02,809.62,810.46,707.05,799.63,814.25,797.03,821.15,778.10
2018,548.69,569.24,457.89,560.99,559.43,546.58,558.46,498.44,554.95,548.64,570.11,482.73,546.05,551.72,550.50,550.63,545.62
2019,718.51,769.76,650.65,712.90,750.09,722.17,735.79,676.00,725.16,690.25,765.04,654.61,698.10,706.21,717.84,689.24,694.89
2020,693.45,759.36,611.31,673.74,723.09,688.52,706.29,666.42,711.90,654.30,753.62,615.75,666.90,681.67,692.51,662.43,654.00
2021,694.62,725.82,573.00,688.59,713.33,703.15,705.55,638.45,701.85,696.21,727.50,587.67,698.13,709.13,694.42,706.27,685.42
