Variable:,pr
,Denmark,Aarhus,Bornholm,Frederiksberg,Fyn,Nordjylland,Ribe,Ringkoebing,Soenderjylland,Storstroem,Vejle,Vestsjaelland,Viborg,Frederiksborg,Koebenhavn,Roskilde
1947,497.18,431.00,492.88,487.20,467.59,426.65,593.31,543.79,606.75,461.96,555.07,438.83,503.87,447.27,458.82,439.01
1948,659.13,572.77,524.56,545.01,560.62,635.18,756.85,784.67,721.62,513.78,693.19,507.89,751.88,509.61,517.18,496.88
1949,716.70,632.56,599.57,668.90,623.11,684.83,808.49,816.17,782.08,614.00,747.40,610.19,779.55,627.28,637.18,614.42
1950,911.50,798.67,678.06,769.58,780.24,861.80,1058.76,1073.15,1008.22,713.35,968.52,721.33,1016.94,728.64,737.08,710.06
1951,846.97,729.18,541.83,703.13,745.50,781.70,990.63,995.41,960.71,679.62,904.61,675.96,941.90,667.76,676.07,659.05
1952,743.84,666.83,645.82,707.09,662.07,667.26,869.08,838.48,851.64,622.21,802.29,642.90,775.99,667.95,674.95,648.50
1953,655.76,588.77,422.28,535.67,549.65,649.81,737.11,766.98,719.38,492.13,679.24,514.16,740.69,514.34,517.10,494.73
1954,868.76,766.99,647.58,794.37,739.32,827.01,993.00,1007.12,954.00,689.43,913.25,710.83,959.14,744.48,754.53,711.53
1955,602.44,536.37,542.17,580.28,539.41,540.91,707.12,673.20,699.35,525.80,643.13,524.36,623.43,543.72,551.49,533.32
1956,612.14,530.38,578.25,571.36,551.56,558.61,719.87,687.75,712.23,546.23,651.09,531.90,636.84,538.80,545.20,531.32
1957,687.89,613.58,557.70,600.23,593.79,648.29,803.20,788.88,788.93,555.89,727.37,558.97,742.90,567.28,572.93,548.88
1958,789.56,704.79,648.84,722.46,700.96,724.35,911.80,886.56,896.77,662.25,852.48,657.65,849.24,680.12,692.89,665.89
1959,546.94,479.79,493.10,496.39,444.70,537.79,600.55,639.91,567.53,441.45,561.49,435.66,632.75,463.55,471.18,461.98
1960,833.19,714.00,726.86,780.96,772.16,752.61,955.03,932.79,954.03,764.14,901.41,731.89,877.00,731.32,744.41,738.57
1961,781.05,690.45,594.18,653.84,664.96,731.28,914.56,905.67,888.09,621.53,835.13,620.52,860.28,620.35,627.14,611.92
1962,704.64,626.48,594.08,655.53,620.55,676.32,793.30,791.62,779.61,606.81,741.74,602.25,756.50,616.77,624.89,603.60
1963,717.85,646.59,563.89,666.89,616.43,684.73,821.06,813.99,791.69,578.03,754.16,593.24,780.02,632.92,638.15,604.87
1964,634.65,569.67,444.22,549.73,537.58,615.93,723.63,725.72,705.83,498.59,665.30,515.61,696.51,526.50,529.66,508.39
1965,760.78,652.06,608.39,655.03,702.98,674.79,906.36,870.69,921.78,664.45,817.65,636.54,799.14,621.10,627.91,619.30
1966,854.43,746.39,637.31,768.33,776.94,766.15,999.07,976.43,984.34,732.24,919.30,720.85,913.40,724.10,734.10,712.31
1967,864.92,763.82,685.26,735.57,721.50,832.73,999.57,1012.69,951.17,669.54,915.98,682.83,965.25,695.38,702.78,674.05
1968,786.15,694.77,629.28,672.74,702.23,706.07,930.99,903.08,916.33,660.11,850.64,645.37,836.74,639.77,645.92,638.20
1969,649.51,575.74,524.96,546.62,589.68,592.46,765.91,744.81,756.22,542.81,707.88,527.06,692.06,515.42,522.55,512.06
1970,766.63,670.95,697.23,712.59,691.22,681.26,909.09,869.28,907.23,662.11,822.62,645.55,803.03,666.97,677.11,654.22
1971,615.55,566.05,467.99,585.07,528.83,585.75,700.34,694.74,668.01,492.95,655.59,521.81,657.88,552.80,559.39,524.95
1972,615.01,541.73,489.03,547.16,537.98,608.55,686.06,686.51,684.16,518.54,634.79,514.24,675.83,519.02,524.64,507.72
1973,624.15,547.79,568.01,581.84,574.21,552.09,745.96,703.74,749.80,536.10,681.92,535.37,640.66,542.29,551.56,523.71
1974,747.72,651.06,640.21,646.21,641.63,694.22,888.64,871.91,866.60,593.35,795.24,592.61,813.68,607.67,614.85,590.39
1975,528.47,462.20,454.79,468.73,450.48,506.62,606.89,612.53,595.40,430.34,554.50,423.31,584.94,433.90,441.61,420.16
