Variable:,pr
,Croatia,Bjelovar-bilogora,Dubrovnik-neretva,"Grad Zagreb",Istra,Karlovac,Koprivnica-krizevci,Krapina-zagorje,Lika-senj,Medimurje,Osijek-baranja,Pozega-slavonija,"Primorje-gorski Kota",Sibenik,Sisak-moslavina,"Slavonski Brod-posav",Split-dalmatija,Varazdin,Virovitica-podravina,Vukovar-srijem,Zadar-knin,Zagreb
1929,1015.43,836.87,1219.50,1032.33,1010.51,1229.76,792.93,1011.77,1308.66,860.70,677.52,857.06,1302.10,1067.11,1008.08,847.09,1091.33,925.36,768.27,705.79,1120.94,1011.64
1930,1265.88,980.38,1262.20,1329.69,1532.45,1728.09,998.23,1288.68,1760.19,1102.26,693.55,929.18,1938.50,1253.82,1249.53,902.27,1204.33,1187.90,854.58,661.01,1386.91,1298.19
1931,1064.72,839.35,1213.52,1054.41,1183.46,1396.64,787.46,1022.69,1448.06,848.08,671.96,843.67,1500.84,1106.72,1020.87,833.56,1091.55,914.23,773.65,693.08,1153.25,1035.18
1932,1064.12,786.56,1132.45,983.57,1280.26,1347.66,685.80,907.30,1491.44,729.97,681.72,855.45,1601.93,1140.04,973.74,847.01,1094.18,802.94,752.93,741.31,1251.16,964.23
1933,1289.18,1047.59,1349.57,1407.33,1532.84,1718.15,1018.78,1349.60,1702.56,1118.08,758.55,986.61,1949.45,1247.74,1263.87,957.96,1233.85,1213.90,917.28,756.17,1330.58,1367.19
1934,1145.90,895.16,1180.22,1183.65,1391.48,1540.27,832.57,1135.33,1559.09,902.34,690.20,885.36,1741.33,1119.38,1109.90,869.77,1108.27,982.83,806.73,717.04,1211.70,1157.67
1935,1018.81,816.06,1132.92,1095.37,1176.57,1297.77,824.04,1055.40,1348.22,897.40,606.15,786.81,1451.44,1037.62,984.72,771.04,1038.15,958.83,717.01,602.10,1113.84,1064.69
1936,1152.73,974.27,1251.91,1208.35,1242.63,1440.22,922.45,1179.27,1484.51,994.74,764.18,974.24,1555.85,1146.02,1136.65,956.93,1160.70,1074.80,888.90,769.85,1200.03,1184.07
1937,1619.50,1334.11,1658.07,1749.80,1816.84,2103.19,1259.29,1635.61,2138.52,1362.30,995.01,1328.22,2254.39,1593.90,1630.16,1299.22,1575.92,1478.81,1189.40,996.20,1734.14,1703.31
1938,926.25,770.56,941.93,949.30,1024.97,1145.37,734.58,949.96,1209.01,800.38,640.63,809.58,1267.90,901.00,902.48,797.41,865.67,863.80,723.66,657.19,1006.73,929.48
1939,1115.06,845.70,1331.34,1101.79,1154.10,1372.15,803.24,1054.34,1510.81,877.14,693.51,891.60,1464.94,1268.45,1070.70,876.43,1239.67,952.99,782.80,720.46,1331.68,1075.37
1940,1334.30,1166.05,1389.26,1320.28,1317.46,1690.75,1051.71,1295.22,1762.03,1124.28,912.47,1171.21,1723.17,1326.96,1369.75,1152.43,1286.97,1219.33,1064.93,919.46,1419.31,1309.65
1941,1202.84,946.87,1394.70,1190.26,1327.94,1539.21,876.23,1127.69,1597.49,934.66,775.84,980.97,1697.38,1245.22,1146.41,965.35,1267.78,1005.15,873.63,835.56,1314.67,1163.92
1942,974.30,738.75,1203.53,917.64,978.96,1235.76,695.67,852.00,1333.02,738.62,631.12,795.30,1231.63,1098.49,945.76,788.03,1085.56,790.54,687.82,670.04,1130.24,903.56
1943,1056.96,850.71,1191.63,1066.79,1124.91,1337.30,809.75,1018.10,1394.90,863.70,687.25,885.85,1438.70,1099.17,1028.21,873.35,1087.60,928.08,781.71,696.73,1167.47,1045.14
1944,1107.51,975.49,1303.65,1161.68,1083.24,1343.80,919.93,1177.88,1369.39,985.90,778.10,978.46,1437.96,1083.94,1073.29,963.17,1153.19,1062.11,889.11,804.47,1137.88,1139.34
1945,829.15,730.89,957.60,921.64,807.89,1031.90,686.51,887.44,1001.62,740.72,576.86,736.78,1052.92,798.41,848.48,722.49,828.40,802.71,663.14,597.96,830.95,898.74
1946,871.22,691.59,965.21,852.15,1011.42,1114.28,656.65,834.81,1161.83,702.22,550.85,711.40,1258.95,872.99,858.97,699.02,877.89,751.45,630.89,575.35,945.77,837.37
1947,931.55,710.06,1024.51,978.91,1161.83,1213.62,691.31,911.28,1226.30,754.75,559.66,716.77,1412.26,928.78,905.47,711.72,935.23,818.09,618.95,591.79,1006.36,951.42
1948,1122.80,928.50,990.60,1217.71,1411.49,1577.47,872.67,1158.21,1495.41,953.26,691.33,893.72,1771.79,969.56,1142.62,870.80,930.93,1039.44,817.32,695.72,1079.44,1191.27
1949,881.64,680.95,1092.68,848.97,954.11,1048.66,640.25,832.04,1152.06,686.43,573.68,700.37,1189.31,979.80,845.23,696.48,1012.21,739.55,617.71,639.16,1006.46,832.75
1950,1083.45,870.86,1099.95,1136.45,1274.32,1454.67,856.47,1096.80,1508.89,925.72,624.06,826.77,1619.96,1062.18,1041.16,804.22,1032.14,997.80,763.89,615.22,1172.96,1111.36
1951,1254.33,1033.93,1239.11,1317.08,1498.41,1638.83,964.18,1237.80,1726.05,1037.18,736.82,985.03,1823.18,1231.73,1257.31,958.47,1176.43,1129.27,922.55,719.13,1352.97,1288.36
1952,1126.51,857.52,1313.73,1163.96,1349.38,1501.80,812.03,1067.74,1476.26,873.90,698.00,881.28,1686.09,1128.60,1077.65,870.38,1170.28,952.30,773.08,745.94,1190.23,1131.43
1953,917.03,730.67,885.14,959.87,1071.41,1201.02,695.11,931.72,1183.04,763.91,571.79,737.13,1305.28,923.23,920.29,726.53,890.72,835.71,660.28,608.77,981.86,934.63
1954,1113.29,976.32,1206.03,1260.83,1136.47,1478.57,917.47,1216.77,1328.64,1000.61,739.94,946.68,1453.72,1043.14,1169.07,930.49,1080.32,1092.89,853.20,782.70,1086.19,1231.35
