Variable:,pr
,Lithuania,Alytaus,Kauno,Klaipedos,Marijampoles,Panevezio,Siauliu,Taurages,Telsiu,Utenos,Vilniaus
1967,690.23,658.74,659.72,802.19,656.36,632.80,685.89,766.23,801.40,671.45,677.04
1968,591.11,546.07,547.40,646.08,547.19,575.45,579.52,627.05,637.53,628.78,605.81
1969,571.31,560.20,554.31,602.13,550.29,534.62,553.14,620.61,609.91,582.32,588.37
1970,717.77,765.05,677.78,872.51,709.82,623.32,687.09,825.21,821.88,656.41,710.58
1971,527.71,511.00,500.94,569.50,486.49,501.54,527.15,556.71,589.67,528.00,542.02
1972,716.51,709.44,701.99,814.20,711.37,653.56,722.19,797.47,808.99,660.43,698.98
1973,622.33,597.99,582.71,750.15,594.70,558.77,621.48,700.60,732.55,591.45,612.61
1974,779.46,766.98,765.88,902.78,773.26,697.08,791.61,908.77,917.90,693.50,744.44
1975,517.54,515.84,493.37,541.23,491.57,506.04,501.22,539.96,556.75,525.90,532.22
1976,508.32,496.34,472.43,575.71,476.49,480.80,493.38,551.75,577.01,510.21,512.89
1977,689.94,672.59,639.38,796.40,622.65,646.84,697.73,742.27,812.25,668.77,690.90
1978,740.47,687.25,694.55,852.89,688.84,701.26,746.60,806.00,856.42,728.07,733.12
1979,686.70,632.55,652.10,782.47,646.09,648.49,703.90,769.37,809.06,659.66,663.64
1980,821.55,764.23,775.14,964.90,762.03,777.94,858.61,914.62,983.11,764.75,782.35
1981,787.12,668.80,723.45,1004.31,727.61,726.73,839.57,910.18,1011.25,726.29,717.18
1982,552.32,532.01,524.18,567.66,511.37,532.53,530.66,577.57,597.41,583.11,584.57
1983,702.77,609.74,669.86,817.95,639.80,682.27,747.52,783.75,839.43,670.48,657.82
1984,628.66,577.87,596.83,733.19,585.50,596.55,651.18,686.25,743.58,596.94,605.20
1985,728.26,652.30,678.50,842.72,666.65,699.69,756.06,796.51,868.83,712.97,701.76
1986,713.80,619.93,664.76,822.47,654.13,704.27,748.57,792.58,841.89,697.22,678.75
1987,689.88,614.07,659.53,808.57,661.40,643.44,698.08,779.53,807.54,673.70,663.06
1988,640.29,607.64,594.29,748.67,583.43,603.41,652.85,685.15,771.98,621.46,625.73
1989,684.85,624.00,650.49,753.89,637.56,643.78,671.02,743.74,781.83,706.79,698.99
1990,794.90,690.60,738.27,923.41,710.76,778.94,831.57,860.26,971.08,782.64,758.79
1991,612.71,497.74,565.04,760.86,557.76,593.02,661.02,693.89,763.20,589.01,553.47
1992,642.39,600.79,597.78,754.97,593.71,602.43,657.62,715.64,770.51,614.28,621.53
