Variable:,pr
,Germany,Baden-Wuerttemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thueringen
1943,584.47,629.53,624.82,450.70,443.60,628.82,621.64,590.97,500.57,599.66,718.45,659.45,651.35,448.40,436.16,682.83,506.18
1944,788.99,909.73,967.96,601.07,599.98,724.82,713.42,774.97,573.75,744.47,884.34,808.35,798.28,704.03,587.87,755.67,722.46
1945,733.25,800.68,798.60,606.00,610.34,769.76,778.86,715.09,622.53,755.90,806.67,710.99,699.56,673.93,584.30,829.22,683.96
1946,710.99,769.97,758.23,603.76,606.99,745.23,726.19,699.33,610.83,722.27,786.43,704.52,705.08,673.90,588.22,771.63,687.40
1947,628.06,697.90,692.72,521.01,520.74,590.61,579.55,639.73,518.19,618.92,708.64,663.46,672.83,577.63,502.15,593.10,598.26
1948,694.05,772.38,782.27,558.81,559.36,677.08,666.29,670.88,566.05,677.26,804.87,758.63,775.52,609.58,547.30,685.72,627.45
1949,615.82,563.96,694.69,539.06,534.54,674.37,681.31,563.24,566.26,656.73,661.54,572.49,564.35,570.21,521.90,732.39,576.74
1950,798.31,858.95,809.56,629.96,630.97,869.07,852.36,845.76,655.48,843.73,919.77,868.78,884.19,703.27,642.01,921.35,767.51
1951,714.44,822.44,752.89,533.50,533.29,782.64,778.29,707.62,589.51,743.08,824.49,781.67,830.89,575.95,543.37,873.16,640.27
1952,757.37,888.85,855.22,543.64,551.21,725.20,718.08,795.03,571.08,710.64,897.66,894.01,933.46,634.65,541.50,786.33,691.54
1953,575.68,628.64,633.96,502.53,493.02,620.17,618.86,536.15,480.00,607.10,607.01,516.44,500.07,519.96,494.07,664.19,544.25
1954,806.06,900.73,934.68,633.94,643.67,822.54,805.67,756.28,673.48,805.08,854.66,780.31,786.03,721.73,657.26,874.09,746.35
1955,719.08,833.04,858.45,603.10,604.86,680.51,658.78,677.51,569.42,684.20,726.60,662.82,694.99,706.83,600.43,678.47,709.60
1956,759.67,850.50,866.47,631.79,633.77,730.12,686.99,748.13,616.15,737.84,851.23,754.41,737.46,697.97,630.06,707.52,725.11
1957,722.55,764.71,788.14,564.78,567.59,775.93,731.98,721.37,561.01,761.47,860.58,735.53,724.26,643.74,573.09,758.79,692.38
1958,819.50,939.07,905.01,620.06,633.00,815.42,778.34,836.91,638.97,812.75,913.90,869.98,906.83,748.09,657.86,841.18,786.50
1959,536.69,671.20,656.84,474.86,467.66,448.06,464.39,479.83,451.69,468.90,530.87,524.68,567.13,491.19,436.05,510.22,482.47
1960,810.72,881.33,834.88,639.29,638.95,865.14,848.50,830.47,698.67,858.05,953.71,829.05,857.63,700.65,644.11,914.17,781.01
1961,779.53,777.56,775.58,656.07,652.84,863.04,799.70,820.49,649.26,847.05,969.85,829.95,809.41,659.39,652.45,841.75,744.87
1962,658.26,682.25,705.41,536.56,535.88,737.99,730.44,620.10,583.44,710.12,777.65,662.83,650.06,560.12,510.43,760.81,578.34
1963,635.89,780.79,711.36,464.76,469.28,652.40,657.90,617.40,505.49,644.60,687.82,627.17,656.88,549.56,478.05,725.64,601.57
1964,612.48,679.40,732.28,527.69,521.97,598.80,590.11,553.53,496.17,598.16,661.71,581.33,581.22,558.49,491.13,646.03,527.16
1965,898.04,1091.42,984.38,637.20,645.06,911.95,868.58,941.98,660.92,889.75,1050.65,1008.03,1002.19,768.43,659.52,907.93,845.09
1966,900.91,987.83,1009.37,687.49,696.37,916.78,870.10,910.88,703.34,908.99,1055.95,933.54,929.19,787.55,701.98,934.78,846.07
1967,762.75,812.23,767.22,685.10,668.83,826.31,805.53,775.71,657.61,814.35,826.38,777.92,829.77,710.46,643.97,862.98,739.52
1968,774.36,998.60,830.59,597.73,599.91,793.91,769.26,797.91,634.11,766.71,817.63,830.23,893.14,657.42,571.86,844.62,700.07
1969,666.28,797.51,685.94,533.54,530.98,726.71,690.96,661.69,532.22,707.65,743.13,665.76,711.36,584.22,556.98,720.14,631.26
1970,814.55,911.60,916.00,623.44,629.96,857.86,824.02,790.38,660.62,844.26,873.93,790.61,856.63,740.73,659.73,869.08,796.93
1971,562.80,656.75,638.73,467.19,460.44,555.11,543.53,533.43,446.18,559.12,591.53,533.42,548.84,537.72,455.60,595.97,548.20
1972,626.54,716.95,674.46,482.61,489.29,678.83,652.03,613.30,515.64,664.02,691.58,621.29,673.09,542.41,519.14,669.02,596.71
1973,651.95,812.59,738.28,510.15,513.42,715.59,688.88,591.07,542.04,678.96,687.98,605.50,623.04,544.27,503.72,723.09,565.56
1974,799.03,887.70,921.57,655.16,663.40,783.84,752.99,760.09,642.10,779.99,894.98,802.95,809.47,737.24,636.57,807.75,719.41
1975,634.42,843.29,769.54,452.74,457.37,614.08,588.95,623.50,468.16,602.82,662.41,645.04,689.50,535.51,457.02,587.73,571.02
1976,550.02,687.03,677.54,416.01,418.28,549.00,542.57,507.95,441.51,541.06,553.78,505.00,545.43,489.42,404.65,548.14,483.55
1977,765.74,871.12,850.37,639.88,639.75,743.48,724.99,758.80,610.77,756.19,812.56,778.66,848.17,731.86,647.45,739.27,748.34
1978,722.13,945.83,823.79,608.93,603.59,705.96,725.12,682.04,613.55,688.07,705.65,721.11,770.06,634.02,557.24,736.63,630.45
1979,762.19,885.51,901.55,592.86,582.51,761.54,741.53,739.57,591.43,751.18,835.89,798.99,874.84,654.88,564.57,768.10,679.90
1980,771.58,809.38,823.51,625.22,628.05,863.34,846.65,738.29,668.61,827.39,866.51,799.12,835.58,683.19,608.90,901.83,690.65
1981,897.24,997.26,986.11,685.05,692.40,881.97,853.90,945.40,711.45,897.42,1011.99,952.32,980.14,811.33,706.96,908.28,887.49
1982,655.05,924.32,751.70,414.76,412.51,662.90,652.06,652.67,463.46,639.91,740.66,763.65,837.62,466.15,435.27,686.91,546.10
1983,720.28,816.90,767.50,597.98,589.15,760.66,754.66,691.49,613.51,753.56,807.81,740.34,779.35,617.43,584.39,779.12,655.75
1984,743.99,826.11,764.04,555.52,556.62,785.39,743.34,786.42,588.17,778.50,905.99,827.22,854.84,623.60,591.44,795.17,718.56
1985,677.94,747.37,778.96,537.03,524.49,751.47,748.01,628.45,564.47,728.87,737.88,643.96,675.31,560.62,509.67,799.13,595.04
1986,770.41,949.70,816.09,646.40,638.85,759.33,755.84,759.04,631.00,769.47,832.18,798.93,878.68,700.61,626.18,774.44,718.78
