Variable:,pr
,Slovenia,Gorenjska,Goriska,"Jugovzodna Slovenija",Koroska,Notranjsko-kraska,Obalno-kraska,Osrednjeslovenska,Podravska,Pomurska,Savinjska,Spodnjeposavska,Zasavska
1947,1286.56,1636.66,1667.13,1261.55,1102.02,1602.58,1456.45,1414.45,889.59,681.61,1109.04,1074.62,1167.41
1948,1652.15,2019.27,2051.87,1709.54,1404.19,2113.65,1867.23,1832.72,1136.01,882.79,1428.07,1412.47,1503.53
1949,1165.52,1532.38,1550.22,1064.56,1059.80,1364.01,1228.12,1261.17,851.81,672.12,1029.77,937.26,1081.29
1950,1459.06,1776.29,1846.05,1477.40,1284.15,1768.67,1575.64,1565.55,1082.96,856.56,1267.82,1264.99,1316.46
1951,1635.20,2025.49,2073.31,1619.07,1399.91,2031.80,1861.73,1764.55,1195.38,940.97,1402.63,1403.77,1456.28
1952,1516.53,1881.18,1926.35,1554.68,1256.36,1952.86,1748.65,1669.68,1030.65,781.03,1294.52,1303.85,1359.71
1953,1233.26,1548.59,1564.67,1196.28,1081.11,1471.77,1349.13,1325.01,914.64,721.72,1097.14,1071.39,1140.66
1954,1484.36,1801.88,1785.39,1471.88,1396.75,1652.30,1457.55,1571.11,1192.90,934.71,1396.05,1370.95,1437.19
1955,1522.76,1804.13,1823.97,1608.30,1282.60,1902.98,1723.76,1651.29,1130.53,857.65,1335.92,1381.67,1378.72
1956,1389.43,1780.54,1781.40,1311.16,1293.89,1590.20,1435.79,1499.45,1038.53,836.20,1252.32,1151.76,1311.52
1957,1295.66,1638.71,1619.72,1276.43,1167.82,1462.70,1318.35,1405.39,978.98,790.55,1166.49,1128.48,1218.49
1958,1530.35,2009.38,2020.48,1392.73,1434.53,1752.23,1581.04,1666.45,1118.02,863.78,1381.83,1245.77,1458.27
1959,1484.44,1841.54,1847.12,1477.70,1302.38,1796.05,1620.84,1607.33,1100.84,855.36,1308.33,1305.39,1360.46
1960,1775.32,2228.96,2309.31,1848.61,1422.71,2325.66,2103.25,1941.97,1159.21,880.58,1474.86,1503.98,1549.45
1961,1400.09,1697.60,1735.97,1465.90,1192.16,1758.58,1536.66,1521.69,991.43,773.67,1227.04,1226.63,1279.63
1962,1600.16,1946.23,1870.66,1581.22,1513.09,1735.50,1518.65,1733.91,1300.09,971.45,1558.48,1488.64,1611.07
1963,1468.61,1821.66,1794.75,1473.07,1321.04,1696.72,1535.04,1580.11,1104.36,874.00,1344.23,1324.54,1396.84
1964,1492.13,1794.96,1803.31,1507.26,1360.48,1715.50,1541.94,1591.66,1156.46,929.69,1378.51,1364.61,1425.23
1965,1786.21,2281.90,2254.73,1710.18,1611.46,2119.55,1892.66,1933.29,1312.26,1095.23,1581.97,1521.50,1653.07
1966,1509.80,1783.95,1873.75,1525.33,1317.32,1769.56,1616.60,1583.05,1191.79,1021.21,1331.01,1360.40,1363.18
1967,1258.38,1532.54,1560.12,1258.92,1133.71,1401.67,1289.90,1324.41,988.49,740.86,1170.63,1173.18,1204.37
1968,1355.24,1698.91,1777.31,1348.19,1158.33,1638.65,1532.22,1446.21,960.97,732.76,1177.24,1163.40,1228.54
1969,1455.38,1746.31,1708.71,1472.45,1375.80,1649.03,1475.70,1588.57,1140.24,899.65,1356.79,1313.74,1411.45
1970,1421.05,1728.60,1738.55,1425.06,1293.49,1633.98,1463.61,1528.19,1099.73,853.32,1294.57,1281.27,1343.86
1971,1079.71,1373.71,1403.49,1047.64,935.25,1330.12,1231.94,1182.80,760.54,588.70,928.04,887.92,977.77
1972,1567.30,1882.18,1845.64,1486.19,1551.03,1679.09,1516.86,1680.59,1321.09,1058.77,1514.68,1392.52,1564.97
1973,1227.27,1602.66,1535.36,1102.04,1213.57,1342.95,1218.73,1365.90,932.37,777.18,1139.65,985.88,1210.65
1974,1414.41,1625.54,1613.68,1527.85,1217.60,1678.94,1483.71,1521.67,1102.37,879.68,1308.16,1356.73,1343.51
1975,1398.59,1778.32,1831.71,1331.77,1263.72,1666.98,1513.77,1517.24,1011.82,843.24,1208.77,1120.29,1273.45
1976,1375.28,1699.21,1731.12,1421.28,1147.76,1744.47,1559.62,1505.56,957.06,739.69,1181.99,1193.95,1236.88
1977,1325.59,1722.42,1747.83,1346.22,1068.84,1654.68,1489.46,1443.28,880.95,661.29,1118.61,1147.87,1172.21
1978,1380.40,1837.71,1886.79,1332.18,1141.95,1742.92,1589.84,1520.26,882.60,694.08,1144.16,1101.87,1216.85
1979,1600.62,2035.03,2054.53,1485.84,1476.36,1894.49,1708.57,1742.36,1196.44,986.51,1414.50,1312.06,1484.44
1980,1465.78,1840.78,1807.37,1492.47,1289.84,1747.83,1530.01,1615.74,1052.07,817.49,1310.89,1290.08,1374.34
1981,1328.92,1579.94,1633.96,1424.92,1080.89,1704.07,1512.53,1440.28,945.66,717.25,1146.42,1206.21,1188.23
1982,1400.67,1732.79,1767.28,1344.61,1275.96,1651.60,1501.01,1502.48,1067.43,879.08,1244.36,1190.31,1294.66
1983,1099.20,1370.65,1383.36,1071.45,982.24,1309.04,1165.40,1193.24,810.11,636.24,990.35,952.03,1035.86
1984,1424.88,1731.53,1820.38,1463.65,1171.71,1791.25,1659.13,1537.38,1007.46,791.76,1211.33,1256.28,1258.86
1985,1362.55,1727.51,1671.78,1269.82,1288.34,1512.55,1344.77,1498.34,1058.63,870.72,1275.72,1150.45,1339.96
1986,1299.18,1582.89,1552.82,1274.83,1208.36,1487.55,1327.05,1413.98,1024.40,780.42,1213.72,1159.82,1259.69
1987,1470.46,1847.59,1851.83,1400.03,1339.02,1673.62,1541.04,1587.85,1124.61,938.28,1321.53,1253.10,1378.72
1988,1236.23,1512.50,1508.88,1198.08,1149.13,1429.45,1299.30,1334.56,966.02,776.95,1123.41,1078.28,1167.83
1989,1302.69,1563.58,1562.41,1277.03,1217.82,1498.60,1326.83,1399.65,1032.75,803.38,1231.25,1153.77,1277.18
1990,1386.72,1766.19,1752.92,1285.69,1314.68,1624.52,1436.28,1543.57,1013.81,832.56,1264.44,1113.84,1343.07
1991,1319.96,1637.71,1589.79,1219.51,1292.97,1468.66,1312.34,1428.74,1075.85,922.30,1219.58,1119.74,1269.55
1992,1388.34,1743.07,1744.13,1391.23,1213.59,1734.60,1534.42,1546.55,958.11,772.22,1207.87,1167.95,1280.22
1993,1304.13,1580.40,1563.26,1363.14,1129.29,1620.08,1427.76,1429.15,947.53,746.12,1151.72,1179.33,1200.08
1994,1348.46,1638.80,1613.05,1338.01,1231.32,1568.91,1368.14,1445.98,1067.53,847.62,1244.12,1218.82,1281.63
1995,1501.47,1846.35,1866.51,1570.93,1202.82,1946.92,1744.89,1632.46,1047.61,873.07,1251.12,1313.00,1298.97
1996,1554.49,1978.05,2027.05,1506.23,1352.95,1898.82,1750.03,1673.10,1116.68,889.15,1327.68,1300.00,1385.39
1997,1245.37,1487.66,1532.65,1277.78,1084.92,1561.63,1385.65,1336.08,941.40,743.10,1073.15,1090.80,1105.09
1998,1457.50,1766.73,1759.50,1481.96,1250.07,1766.89,1562.07,1570.16,1105.72,908.33,1294.42,1313.61,1335.97
1999,1449.95,1780.65,1733.57,1456.81,1315.75,1687.34,1490.79,1594.37,1090.26,845.97,1348.10,1306.31,1414.37
2000,1387.37,1868.51,1947.58,1317.97,1183.75,1701.20,1532.07,1511.17,909.72,693.29,1151.56,1072.68,1225.93
2001,1223.98,1531.58,1526.39,1270.93,1017.28,1491.34,1331.05,1342.78,859.56,619.86,1083.72,1115.78,1130.01
2002,1423.15,1739.48,1809.89,1461.53,1203.77,1783.98,1583.88,1517.30,1030.30,775.68,1237.40,1258.83,1277.40
2003,1046.42,1378.88,1377.75,954.43,964.54,1204.32,1110.74,1150.84,737.95,593.20,944.64,865.02,1005.98
2004,1516.46,1914.88,1912.10,1517.34,1297.62,1851.68,1680.33,1663.93,1064.15,815.06,1338.04,1326.50,1404.44
2005,1396.25,1690.98,1626.33,1418.63,1278.99,1629.23,1427.11,1518.39,1091.53,875.28,1288.58,1264.96,1336.16
2006,1195.38,1430.31,1441.93,1218.21,1074.49,1436.32,1281.07,1300.78,904.19,715.71,1077.21,1054.55,1120.91
2007,1293.64,1567.87,1593.96,1292.57,1159.33,1493.68,1341.46,1377.38,1009.48,815.66,1168.03,1167.37,1205.65
2008,1431.38,1800.75,1881.74,1419.56,1242.70,1685.87,1606.51,1546.01,1000.57,806.41,1236.81,1217.05,1304.55
2009,1504.02,1892.10,1931.54,1445.03,1380.71,1724.61,1587.10,1612.55,1131.41,917.51,1332.31,1281.39,1391.59
