Variable:,pr
,Netherlands,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,Noord-brabant,Noord-holland,Overijssel,Utrecht,Zeeland,Zuid-holland
1957,841.11,824.88,859.53,863.58,832.60,841.70,863.25,832.98,865.61,821.42,862.17,778.59,851.33
1958,834.28,816.41,838.74,835.28,827.06,836.18,886.44,835.94,840.92,811.74,843.32,823.15,845.27
1959,537.89,508.83,542.31,540.30,532.62,506.37,545.48,544.83,569.95,518.53,563.04,553.51,571.10
1960,915.68,876.99,926.50,925.05,899.78,898.21,925.39,921.61,967.92,876.60,953.96,923.63,961.15
1961,915.78,899.25,924.65,928.01,906.26,918.23,941.20,912.31,940.43,889.90,939.41,872.58,933.36
1962,751.42,722.86,753.52,748.84,745.14,737.82,801.61,764.27,765.63,724.70,766.85,712.06,770.91
1963,695.90,669.90,708.99,710.19,686.71,697.82,684.56,697.76,726.31,672.91,723.48,676.31,723.99
1964,705.64,660.18,711.80,703.49,689.47,666.82,695.69,727.57,745.08,668.73,743.95,747.04,770.35
1965,979.70,945.36,979.83,962.16,973.18,953.87,1043.16,1005.72,977.54,948.08,1000.19,948.61,1008.62
1966,1018.76,973.41,1029.39,1004.03,1014.11,975.50,1069.79,1045.06,1029.60,983.30,1061.75,996.31,1055.78
1967,791.90,809.30,822.73,838.10,779.23,842.30,748.87,750.15,832.93,788.09,823.33,705.05,787.14
1968,798.66,805.49,830.10,847.36,784.36,838.36,752.55,760.68,842.25,794.40,822.08,749.27,801.99
1969,720.23,703.81,720.75,723.19,702.37,728.95,732.13,720.89,741.70,693.31,739.34,756.39,754.08
1970,819.64,838.28,841.64,852.91,809.23,873.55,816.50,786.43,834.52,815.44,835.78,737.31,804.90
1971,573.55,554.29,572.45,572.66,563.90,569.08,590.13,583.95,584.34,554.29,586.90,584.32,593.29
1972,670.46,669.33,683.80,685.48,665.70,681.47,675.56,659.45,662.88,667.69,678.77,672.25,670.49
1973,713.52,714.24,731.29,743.92,698.44,746.81,697.94,690.79,751.19,698.87,738.15,647.74,727.01
1974,912.98,852.92,903.77,902.22,882.64,875.05,951.90,950.98,947.90,852.45,947.65,987.57,993.80
1975,666.04,650.20,672.25,684.26,642.94,668.70,633.48,660.15,707.18,646.76,690.00,719.70,709.92
1976,545.36,562.99,559.56,574.84,534.04,587.32,513.80,514.61,573.97,547.64,552.37,510.65,544.84
1977,759.18,731.68,758.00,753.92,742.93,752.00,794.04,772.06,762.92,729.83,777.40,804.23,793.63
1978,672.42,669.74,672.68,681.74,658.71,698.18,687.84,668.99,678.91,654.11,680.31,667.25,681.55
1979,838.54,822.24,854.64,850.16,830.14,832.54,826.50,834.79,860.35,820.11,877.26,827.30,864.84
1980,834.59,831.43,840.69,848.53,815.17,870.04,856.89,826.55,841.28,811.89,847.61,822.38,845.11
1981,919.20,893.91,905.86,904.99,901.04,922.18,974.42,947.36,910.02,874.53,936.89,940.46,956.22
1982,719.79,687.07,716.47,710.84,705.36,700.63,778.04,736.46,736.13,684.63,739.76,737.37,751.65
1983,789.00,788.47,806.45,806.00,787.79,807.45,804.80,772.82,798.49,780.67,810.35,717.50,787.01
1984,858.12,822.98,861.72,849.11,853.16,828.04,909.52,878.36,858.63,827.00,885.27,849.91,889.19
1985,756.64,762.47,777.28,783.14,748.66,784.47,716.52,730.71,779.10,752.36,779.74,729.58,773.25
1986,799.68,775.21,792.03,792.51,781.89,791.14,838.01,816.85,806.85,761.71,821.00,835.00,840.58
1987,849.42,830.81,845.81,848.32,835.16,857.36,894.73,863.62,845.74,816.42,860.03,849.26,874.00
1988,899.24,882.31,906.11,915.86,881.93,897.89,911.20,898.66,916.23,874.05,923.62,899.52,935.91
1989,657.94,654.50,670.75,669.33,653.96,669.66,685.42,647.49,657.25,650.25,669.62,632.95,655.32
1990,729.29,735.86,741.89,754.01,716.72,777.95,721.15,706.22,751.69,713.83,745.43,688.63,732.67
1991,657.72,634.11,654.20,654.74,638.28,663.18,650.35,679.72,655.96,624.86,677.91,706.62,701.80
1992,813.90,792.46,816.03,822.08,791.79,824.53,805.29,822.17,841.65,780.07,836.73,834.21,859.32
1993,868.94,866.99,876.74,895.79,845.69,910.15,859.74,851.51,905.53,846.79,881.32,862.70,890.53
1994,888.58,887.76,904.54,924.23,870.73,933.55,841.32,869.86,924.94,867.08,919.72,859.63,907.40
1995,802.49,810.09,822.60,837.87,796.31,831.58,803.12,775.05,816.76,798.94,816.85,735.35,795.96
1996,585.78,564.05,591.92,597.24,565.22,589.56,574.39,587.50,628.70,556.19,612.32,598.36,626.96
1997,673.95,660.77,673.73,666.83,665.70,673.37,725.80,680.36,667.09,654.93,683.32,674.44,684.09
1998,1020.33,998.08,1054.48,1056.20,1011.50,1021.27,978.93,1008.30,1075.72,987.32,1071.84,963.05,1054.43
1999,895.43,847.67,922.24,900.69,897.18,850.40,879.86,905.67,939.09,866.66,941.13,891.87,940.81
2000,880.49,828.02,899.32,880.80,870.16,819.27,917.62,898.49,918.76,842.95,917.46,908.69,930.81
2001,928.55,886.92,955.19,937.43,918.41,885.63,950.03,931.44,972.04,894.27,970.27,939.90,973.35
2002,915.08,912.15,917.09,928.12,896.17,939.89,913.83,910.20,928.03,894.43,935.13,905.40,937.92
2003,631.80,615.32,640.91,639.60,624.78,622.98,646.76,631.51,644.99,617.03,650.70,633.48,647.18
2004,846.80,840.11,869.25,866.70,844.70,862.99,815.85,831.30,875.93,837.04,878.71,795.12,855.80
2005,810.49,780.66,831.92,824.80,801.38,799.23,783.11,817.62,842.97,778.93,843.82,810.06,852.80
2006,753.69,708.78,763.82,741.02,744.33,724.44,772.36,777.47,782.19,712.01,791.04,786.51,800.51
2007,910.25,943.17,910.72,940.85,892.62,965.24,900.05,886.00,895.93,916.93,908.57,846.15,901.21
2008,843.28,829.79,858.89,863.85,832.40,857.41,838.74,842.19,856.71,819.04,870.59,840.03,859.51
2009,754.39,745.72,756.29,760.93,739.80,758.62,778.43,752.70,765.69,736.88,769.43,760.68,772.99
2010,793.56,758.73,809.99,799.15,779.74,783.36,804.35,795.03,836.65,758.49,829.68,813.19,834.48
2011,759.69,750.26,779.34,784.63,748.33,797.13,730.15,748.81,781.09,736.50,786.58,736.91,778.85
2012,842.66,789.13,856.59,833.01,828.59,803.02,845.82,867.49,884.40,796.29,885.62,912.20,909.27
2013,721.25,685.80,724.32,719.44,704.64,701.58,761.53,738.22,743.99,682.84,745.98,749.78,761.25
2014,761.15,731.67,762.37,752.54,747.48,760.67,786.49,777.85,767.88,724.77,784.01,812.15,797.23
2015,816.79,812.66,835.23,850.62,799.59,852.79,742.98,801.85,858.34,793.23,852.71,812.11,852.90
2016,782.77,739.39,784.26,759.63,775.02,741.28,822.30,814.18,793.30,745.32,813.55,825.99,827.18
2017,859.07,885.10,877.14,915.03,833.58,932.17,803.40,819.62,883.65,853.19,874.71,802.79,869.24
2018,633.68,596.62,641.13,619.19,627.39,597.23,662.25,648.69,660.93,604.04,663.26,683.69,671.05
2019,807.40,790.92,818.07,832.03,788.52,827.67,782.76,804.29,843.03,777.31,835.28,809.04,838.88
2020,775.13,743.36,793.84,788.14,760.12,764.15,744.95,780.85,827.83,737.54,816.77,806.09,821.63
2021,865.80,818.06,882.23,845.45,867.06,817.91,883.79,889.65,885.58,836.78,908.23,863.59,910.16
