Variable:,pr
,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,"Administrative unit not available","Administrative unit not available",Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,"La Trinite","Le Marin",Saint-Pierre
1920,778.05,625.39,875.04,776.17,654.60,625.13,819.80,552.02,663.69,857.32,789.60,604.13,497.12,997.48,859.54,729.61,968.68,650.63,611.71,585.38,695.97,1123.89,922.74,2879.40,2321.83,2337.09,1322.10,1538.61,1560.31,2303.63,2240.10,2011.90,2407.50
1921,522.47,497.36,714.45,573.71,398.20,498.29,514.45,422.67,452.22,460.18,625.80,361.41,349.43,577.43,665.20,506.26,717.54,379.18,415.17,347.19,530.44,419.12,567.09,2926.25,2431.53,2337.09,1301.10,1538.61,1560.31,2303.63,2240.10,2011.90,2407.50
1922,909.12,966.39,1025.22,909.32,830.57,889.68,997.29,771.57,901.70,710.76,1207.71,755.89,698.15,779.22,1072.63,1048.54,888.13,761.79,844.84,726.95,938.77,828.93,1094.24,3083.80,2665.63,2337.09,1250.90,1538.61,1560.31,2303.63,2240.10,2011.90,2407.50
1923,884.82,791.99,1065.13,854.76,859.16,801.69,953.37,744.18,856.55,722.64,1053.45,823.03,710.10,779.47,1028.88,936.97,873.75,839.46,816.27,780.23,911.30,866.29,1040.53,3063.33,2575.64,2337.09,1366.50,1538.61,1560.31,2303.63,2240.10,2011.90,2407.50
1924,793.40,732.83,843.29,777.88,809.99,697.27,972.80,644.59,772.66,735.02,878.53,749.32,614.67,769.19,879.27,837.55,764.72,767.91,723.04,698.97,777.06,894.11,920.67,2828.56,2287.42,2337.09,1403.90,1538.61,1560.31,2303.63,2240.10,2011.90,2407.50
1925,835.13,775.22,916.02,793.77,868.72,752.80,1016.11,733.48,875.55,700.60,941.74,801.08,689.19,722.58,972.43,940.93,784.02,871.02,831.00,789.30,877.16,791.80,859.72,2799.10,2198.30,2337.09,1379.30,1538.61,1560.31,2303.63,2240.10,2011.90,2407.50
1926,860.54,724.24,1020.21,815.12,784.79,711.23,874.65,680.48,752.07,921.47,929.21,730.69,614.61,892.84,984.87,824.27,963.33,736.27,774.01,676.96,868.98,1110.04,1011.47,2785.43,2208.25,2337.09,1280.30,1538.61,1560.31,2303.63,2240.10,2011.90,2407.50
1927,933.80,846.30,1197.34,955.20,922.94,830.74,1030.82,809.67,829.27,769.83,1040.42,866.36,701.26,803.09,1156.49,917.17,959.21,805.63,892.14,741.41,1009.71,871.07,1069.03,3207.51,2880.30,2337.09,1374.00,1538.61,1560.31,2303.63,2240.10,2011.90,2407.50
1928,868.24,720.16,997.08,878.35,898.65,791.08,1018.90,736.42,790.03,798.57,997.30,817.82,665.60,790.88,1023.60,834.88,823.27,780.54,839.24,718.75,898.64,881.19,1040.85,3178.36,2745.20,2337.09,1360.20,1538.61,1560.31,2303.63,2240.10,2011.90,2407.50
1929,696.88,610.36,816.11,673.37,798.64,620.71,961.79,572.83,636.43,606.80,774.84,681.82,524.66,601.42,791.95,706.42,686.96,639.12,700.86,565.86,710.13,654.62,766.09,2916.59,2445.97,2337.09,1407.70,1538.61,1560.31,2303.63,2240.10,2011.90,2407.50
1930,1039.60,913.17,1277.81,1012.39,963.77,960.20,1151.23,890.62,982.99,789.52,1193.42,848.60,779.82,1020.54,1236.57,1065.77,1136.07,817.50,1001.94,781.72,1126.04,998.82,1149.09,2917.00,2363.07,2337.09,1219.90,1538.61,1560.31,2303.63,2240.10,2011.90,2407.50
1931,885.20,880.49,1040.98,930.52,780.81,857.35,902.92,765.01,860.84,819.34,1056.34,735.01,706.66,801.22,1075.94,939.63,876.05,742.96,784.69,724.72,911.73,914.27,1020.60,2928.61,2446.28,2337.09,1369.80,1538.61,1560.31,2303.63,2240.10,2011.90,2407.50
1932,896.09,732.92,1170.91,926.30,715.87,761.44,849.77,673.99,764.22,729.18,966.32,649.76,583.51,1099.06,1075.68,842.71,1226.83,702.83,706.80,633.57,885.23,1013.17,1002.17,3120.24,2670.72,2385.33,1453.10,1538.61,1560.31,2386.31,2329.57,2117.27,2479.10
1933,756.68,634.10,1015.55,767.57,601.35,628.54,712.53,545.17,599.62,838.57,821.80,553.47,478.03,916.83,862.19,657.70,958.16,570.58,604.86,522.16,731.31,974.08,905.77,3050.83,2620.10,2617.85,1065.70,1538.61,1560.31,2636.66,2565.76,2310.01,2752.60
1934,800.63,593.96,1069.12,795.53,720.70,661.44,874.52,636.60,677.25,898.43,801.87,642.10,535.49,782.56,976.28,700.52,916.28,643.12,721.01,587.39,866.72,973.98,893.89,2791.94,2161.10,1713.80,1452.10,1538.61,1560.31,1573.09,1529.78,1369.29,1643.90
1935,952.10,821.05,1156.49,971.04,889.53,880.12,997.49,745.58,856.35,841.34,1155.07,804.38,672.23,894.88,1110.76,934.78,976.03,819.11,822.17,732.13,947.11,1102.38,1190.94,2764.46,2156.10,2141.11,1140.40,1538.61,1560.31,2048.09,1987.78,1776.55,2146.70
1936,900.92,827.26,1200.83,846.59,820.76,741.37,928.16,722.68,799.51,856.30,983.89,768.78,659.55,933.59,982.69,900.82,1091.03,742.76,786.20,704.39,869.49,1013.18,988.66,3143.24,2714.14,2570.49,1048.60,1538.61,1560.31,2548.90,2484.02,2246.42,2655.00
1937,919.87,783.81,1119.19,882.71,910.49,791.91,1017.16,779.68,841.86,1003.05,1007.46,855.97,720.33,804.12,1101.59,914.27,912.93,848.05,879.97,784.12,983.88,999.79,1024.33,2912.07,2402.31,1743.63,1841.50,1538.61,1560.31,1649.76,1607.41,1451.66,1719.00
1938,748.49,711.07,972.80,732.55,667.47,644.28,788.01,555.13,692.55,724.46,850.76,635.10,540.70,779.13,796.62,767.42,878.53,701.42,608.85,633.32,688.77,834.80,845.88,3157.08,2817.18,2435.84,1152.30,1538.61,1560.31,2450.24,2390.03,2159.55,2548.70
1939,965.80,992.18,1117.31,957.49,834.98,936.74,930.18,782.53,990.83,854.42,1234.05,816.94,768.09,945.87,1056.69,1089.30,1050.27,902.09,799.61,828.85,901.30,987.72,1120.54,3153.63,2730.19,1820.73,1534.90,1538.61,1560.31,1727.98,1684.61,1527.31,1798.90
