Variable:,pr
,Poland,Dolnoslaskie,Kujawsko-Pomorskie,Lodzkie,Lubeiskie,Lubuskie,Malopolske,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Slaskie,Swietokrzyskie,Warminsko-Mazurskie,Wielkopolskie,Zachodnio-Pomorskie
1943,527.57,473.48,478.50,472.17,505.64,414.35,654.67,522.60,520.23,553.93,607.67,569.85,639.29,521.80,638.13,424.57,509.44
1944,594.52,706.22,528.85,537.68,507.72,581.48,843.01,500.99,703.50,646.99,543.38,593.44,826.16,592.83,584.02,534.10,588.92
1945,680.63,721.24,639.66,654.55,610.41,619.21,807.92,648.98,714.33,657.96,701.59,714.34,807.94,700.50,756.00,610.59,661.21
1946,611.78,703.44,607.80,586.44,473.60,602.90,707.78,548.74,700.57,520.65,557.81,707.50,766.48,564.05,655.88,587.19,671.82
1947,574.09,587.78,537.35,555.64,531.47,521.50,667.89,544.04,585.55,614.98,579.17,583.93,673.69,586.44,626.95,523.79,563.00
1948,643.04,631.98,599.14,598.02,606.13,558.28,815.55,630.98,631.52,669.09,674.75,659.73,758.46,673.01,729.04,553.55,604.95
1949,601.40,603.24,560.19,573.77,534.53,516.22,767.42,567.24,631.71,638.38,589.72,647.69,731.63,621.79,678.48,519.80,592.93
1950,636.01,663.09,578.83,554.24,546.63,581.55,741.49,603.94,649.52,607.15,722.18,691.91,740.52,589.36,785.81,546.99,650.38
1951,497.71,522.75,426.04,452.25,463.54,464.00,715.81,429.63,557.21,583.93,464.31,494.59,662.70,534.90,469.09,431.57,528.43
1952,654.91,650.97,569.51,608.65,638.11,545.45,856.59,625.15,683.43,742.68,689.29,665.57,815.75,712.35,710.23,537.17,610.85
1953,495.38,485.98,473.09,468.79,464.50,448.03,693.18,436.04,501.40,596.52,413.26,517.40,626.24,553.40,497.15,448.09,494.12
1954,569.30,626.21,500.12,527.10,526.33,572.71,674.27,509.01,595.95,586.02,582.76,589.35,666.00,558.12,628.05,498.36,602.89
1955,591.62,657.00,484.73,540.21,588.67,581.66,810.17,521.63,646.50,733.41,540.55,553.99,763.79,633.23,562.13,511.66,582.28
