Variable:,pr
,Portugal,Aveiro,Beja,Braga,Braganca,"Castelo Branco",Coimbra,Evora,Faro,Guarda,Leiria,Lisboa,Portalegre,Porto,Santarem,Setubal,"Viana Do Castelo","Vila Real",Viseu
1937,1205.54,1626.70,731.34,1969.07,1119.35,1320.10,1537.44,804.77,747.20,1459.30,1336.17,1115.74,976.09,1732.58,1117.09,841.19,2143.59,1681.12,1690.86
1938,605.98,804.37,414.57,966.99,531.54,627.84,747.91,434.94,476.37,679.32,665.19,561.52,501.66,856.06,562.33,444.19,1059.55,810.14,809.63
1939,952.50,1190.75,719.18,1387.74,780.90,976.07,1126.11,773.10,757.57,1020.70,1061.79,951.47,857.62,1252.16,935.46,778.06,1503.66,1161.41,1196.40
1940,971.04,1309.62,623.85,1548.30,863.66,1030.72,1230.24,683.99,655.54,1129.06,1094.01,926.76,801.92,1375.32,918.40,705.15,1693.37,1299.97,1323.33
1941,1059.16,1341.69,742.15,1597.01,900.73,1111.26,1266.57,817.21,757.96,1180.91,1198.23,1065.88,938.81,1428.29,1040.27,834.66,1733.04,1346.39,1359.03
1942,952.21,1209.31,722.78,1417.49,751.99,962.36,1118.96,775.00,729.16,979.19,1080.72,986.50,855.86,1288.90,948.62,796.27,1549.73,1164.79,1182.27
1943,812.44,1122.68,503.11,1387.96,746.66,836.56,1005.05,559.97,512.92,929.27,885.26,746.36,676.24,1220.70,749.41,564.57,1527.89,1153.50,1122.96
1944,557.50,787.35,377.30,934.92,497.06,548.45,687.30,403.79,407.52,594.20,598.01,506.26,461.51,812.28,504.64,402.31,1043.62,778.43,761.90
1945,672.69,964.95,423.67,1195.02,618.43,660.45,843.61,430.04,510.10,748.81,723.62,597.88,503.30,1048.63,588.36,466.41,1330.89,986.33,954.88
1946,799.61,1126.77,519.70,1403.95,728.96,787.12,999.19,548.24,585.57,852.67,873.32,708.98,627.10,1228.00,716.97,565.38,1568.99,1141.64,1100.59
1947,1057.79,1357.91,751.38,1651.42,895.00,1066.38,1252.01,809.46,790.50,1125.69,1183.94,1075.41,907.12,1476.42,1029.62,855.48,1818.91,1368.47,1355.36
1948,879.00,1168.98,607.53,1435.20,745.75,887.79,1045.55,651.48,645.10,943.56,958.78,846.00,748.97,1285.24,836.69,680.92,1578.05,1171.59,1155.89
1949,642.95,879.36,450.07,999.05,537.35,650.12,791.18,481.85,470.55,692.19,724.68,640.11,548.39,907.88,618.85,494.00,1083.71,833.25,856.80
