Variable:,pr
,Hungary,Bacs-kiskun,Baranya,Bekes,Borsod-abauj-zemplen,Budapest,Csongrad,Fejer,Gyor-moson-sopron,Hajdu-bihar,Heves,Jasz-nagykun-szolnok,Komarom-esztergom,Nograd,Pest,Somogy,Szabolcs-szatmar-bereg,Tolna,Vas,Veszprem,Zala
1935,595.82,541.35,622.04,544.87,611.15,569.05,512.45,588.69,587.64,572.76,593.68,549.77,597.08,628.18,573.40,673.32,608.29,585.02,654.73,626.10,721.11
1936,709.45,643.48,761.41,646.07,765.11,691.31,603.86,707.12,676.09,676.05,727.98,657.38,701.44,770.78,687.50,775.94,738.06,713.23,760.90,727.95,807.42
1937,825.04,790.21,979.31,718.68,750.50,820.69,746.16,856.57,815.29,687.62,777.37,725.28,841.80,856.88,814.73,1013.21,701.79,878.87,957.41,899.87,1062.82
1938,586.18,513.06,619.93,555.43,666.22,538.89,504.26,550.54,570.66,596.84,595.99,536.82,564.27,626.66,539.71,610.57,673.50,558.97,643.02,582.13,660.37
1939,662.90,602.32,677.03,625.75,712.34,655.50,593.23,661.30,689.06,636.83,695.20,616.94,690.79,744.41,657.27,677.26,679.76,642.42,712.40,691.62,703.16
1940,786.55,740.99,897.36,717.52,798.07,764.73,695.24,790.16,730.81,716.12,783.06,720.40,752.88,818.79,764.52,896.77,768.31,817.05,868.47,820.84,923.39
1941,699.28,631.26,725.50,692.32,766.62,627.60,623.45,652.40,704.84,737.02,679.21,656.49,658.72,692.04,638.46,734.79,815.71,655.10,739.73,698.26,758.39
1942,536.62,501.70,592.03,513.15,551.52,509.63,492.67,526.32,524.13,517.87,526.63,495.85,522.43,549.76,510.25,593.15,549.72,536.64,567.81,550.39,607.52
1943,548.40,504.03,652.32,482.07,524.35,526.25,472.34,542.16,561.57,482.82,525.52,481.01,530.18,561.35,519.71,669.09,516.28,562.44,646.86,595.41,702.74
1944,720.51,655.56,761.00,646.24,715.69,716.64,618.92,728.18,782.22,674.92,722.26,657.64,742.55,770.66,712.06,795.13,714.45,711.09,820.38,784.16,830.51
1945,542.40,494.51,562.70,507.89,583.44,530.99,481.49,535.97,550.91,537.91,547.56,497.66,550.48,589.64,531.75,569.45,583.85,522.56,566.11,559.02,583.55
1946,532.80,492.65,545.12,496.48,546.41,527.91,479.65,533.37,573.63,505.60,527.17,487.52,561.86,582.78,528.58,567.96,517.70,517.40,591.08,571.63,601.40
1947,499.54,431.84,525.93,464.21,546.03,456.50,409.87,466.39,507.76,526.23,475.83,445.28,477.49,516.08,456.45,547.50,590.48,466.40,553.04,511.81,594.22
1948,609.36,541.65,674.56,534.83,621.75,576.97,510.57,596.31,626.30,561.10,604.42,539.60,612.38,647.11,575.09,707.01,611.85,601.16,706.10,667.04,767.99
1949,552.60,498.03,534.46,543.36,603.41,519.17,506.70,521.05,583.50,562.38,580.71,527.30,557.73,609.20,529.90,547.14,602.40,498.33,601.80,567.87,588.44
1950,629.03,571.55,657.95,553.58,622.67,616.27,522.84,631.17,690.97,581.52,608.77,566.52,646.71,657.78,615.08,718.74,619.81,630.17,741.25,690.44,764.97
1951,658.21,601.44,740.10,590.83,645.07,627.25,574.42,645.57,682.21,601.92,624.03,589.86,663.25,668.38,623.94,784.65,627.44,656.89,760.92,713.87,833.35
1952,674.67,629.80,670.09,661.47,757.35,684.81,622.05,642.66,561.95,696.40,719.79,671.08,639.84,761.13,688.04,679.60,769.60,641.54,625.89,620.04,687.40
1953,534.05,485.26,545.00,530.81,567.99,506.27,488.83,511.80,508.85,536.21,532.11,505.25,514.86,559.26,514.27,562.87,573.61,503.64,574.32,540.21,606.06
1954,641.35,591.60,708.28,606.91,598.46,609.33,594.09,624.59,703.00,589.81,584.07,564.78,646.33,633.28,603.96,735.76,615.58,626.81,792.73,712.07,795.60
1955,724.45,723.70,843.27,726.87,740.24,674.40,711.32,682.52,606.67,730.26,692.02,689.20,652.68,724.78,678.15,789.20,785.07,736.79,689.04,674.30,796.84
1956,554.90,532.81,632.87,542.64,516.02,509.63,525.74,536.91,560.12,522.36,502.79,500.13,539.17,531.35,510.79,622.95,554.12,555.44,652.15,584.87,683.05
1957,590.06,532.35,597.40,552.04,592.13,578.13,512.65,588.45,632.43,565.96,577.17,543.91,623.03,617.09,578.45,631.72,608.08,565.75,673.38,648.12,683.17
1958,602.65,514.69,586.82,559.90,699.23,561.45,505.72,551.88,591.68,624.43,641.47,569.72,584.25,671.29,575.20,609.31,711.32,541.85,672.15,602.09,667.07
1959,587.99,551.09,710.43,535.15,566.23,549.19,524.97,574.21,604.95,532.57,543.08,513.96,583.23,590.76,549.67,700.19,559.84,595.02,675.90,628.39,733.87
1960,685.14,622.42,759.20,623.20,761.78,643.81,583.01,646.99,623.70,676.60,675.95,619.54,625.40,714.59,645.78,773.27,766.95,673.56,728.04,681.40,793.86
1961,472.84,420.87,555.81,395.91,446.74,447.48,390.51,471.24,558.53,391.64,419.18,389.87,496.14,478.51,442.21,583.63,421.47,470.65,623.35,563.74,641.20
1962,561.89,484.71,645.87,471.48,568.77,517.86,450.73,540.23,574.61,501.99,516.97,454.57,553.56,579.73,511.97,706.39,572.14,544.35,707.87,614.86,811.91
1963,628.43,624.19,683.24,600.56,593.27,618.81,589.66,646.31,584.03,582.01,613.73,593.38,624.81,655.74,618.48,693.28,583.18,655.27,693.94,641.30,727.45
1964,658.42,636.80,779.10,605.87,644.79,624.98,605.91,658.80,610.54,596.18,627.51,588.19,624.90,683.82,621.49,777.03,637.58,690.96,722.01,670.45,790.74
