Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22024","GDP Deflator","2020","2020","US$","112.1389","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2000","2000","LCU","74.7591","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2001","2001","LCU","75.5257","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2002","2002","LCU","75.7474","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2003","2003","LCU","76.5785","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2004","2004","LCU","77.4454","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2005","2005","LCU","79.2389","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2006","2006","LCU","80.5856","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2007","2007","LCU","83.9267","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2008","2008","LCU","87.3447","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2009","2009","LCU","89.4966","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2010","2010","LCU","90.775","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2011","2011","LCU","93.6327","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2012","2012","LCU","95.2427","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2013","2013","LCU","96.7681","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2014","2014","LCU","97.9211","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2015","2015","LCU","100","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2016","2016","LCU","100.428","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2017","2017","LCU","102.0651","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2018","2018","LCU","103.8907","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2019","2019","LCU","104.9981","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2020","2020","LCU","108.3001","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2000","2000","US$","62.1035","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2001","2001","US$","60.9376","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2002","2002","US$","64.2776","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2003","2003","US$","77.9289","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2004","2004","US$","86.7052","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2005","2005","US$","88.8505","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2006","2006","US$","91.1517","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2007","2007","US$","103.5716","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2008","2008","US$","115.3627","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2009","2009","US$","112.1013","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2010","2010","US$","108.4016","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2011","2011","US$","117.3616","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2012","2012","US$","110.3394","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2013","2013","US$","115.8478","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2014","2014","US$","117.1392","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2015","2015","US$","100","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2016","2016","US$","100.164","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2017","2017","US$","103.9622","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2018","2018","US$","110.6247","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2019","2019","US$","105.9835","E","Estimated value"
"PD","Deflators","040","Austria","6179","Value US$, 2015 prices","22025","Gross Fixed Capital Formation Deflator","2020","2020","US$","111.5351","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22026","Value Added Deflator (Agriculture, forestry and fishery)","2000","2000","LCU","101.0728","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22026","Value Added Deflator (Agriculture, forestry and fishery)","2001","2001","LCU","106.5559","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22026","Value Added Deflator (Agriculture, forestry and fishery)","2002","2002","LCU","104.1626","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22026","Value Added Deflator (Agriculture, forestry and fishery)","2003","2003","LCU","104.2515","E","Estimated value"
"PD","Deflators","040","Austria","6180","Value Local Currency, 2015 prices","22026","Value Added Deflator (Agriculture, forestry and fishery)","2004","2004","LCU","99.3155","E","Estimated value"
