Variable:,tas
,Netherlands,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,Noord-brabant,Noord-holland,Overijssel,Utrecht,Zeeland,Zuid-holland
1957,9.82,9.38,9.71,9.43,9.89,9.30,10.10,10.19,9.86,9.63,9.88,10.52,10.13
1958,9.33,8.87,9.21,8.92,9.41,8.75,9.66,9.71,9.39,9.14,9.41,10.05,9.66
1959,10.24,9.77,10.08,9.81,10.30,9.69,10.64,10.64,10.26,10.03,10.28,11.04,10.54
1960,9.60,9.13,9.49,9.19,9.68,9.03,9.93,9.98,9.65,9.40,9.67,10.33,9.92
1961,9.93,9.48,9.79,9.52,9.99,9.39,10.31,10.31,9.94,9.73,9.97,10.70,10.24
1962,8.19,7.75,8.05,7.80,8.24,7.71,8.55,8.56,8.22,7.97,8.24,8.93,8.50
1963,7.90,7.51,7.72,7.50,7.94,7.48,8.31,8.27,7.87,7.68,7.91,8.62,8.16
1964,9.14,8.67,9.00,8.72,9.20,8.57,9.58,9.54,9.17,8.92,9.19,9.89,9.45
1965,8.72,8.26,8.61,8.32,8.79,8.19,9.04,9.10,8.78,8.50,8.80,9.44,9.05
1966,9.43,8.99,9.30,9.01,9.50,8.88,9.83,9.82,9.45,9.23,9.49,10.17,9.74
1967,9.97,9.64,9.83,9.64,10.02,9.63,10.14,10.27,9.97,9.80,10.00,10.53,10.23
1968,9.18,8.83,9.04,8.83,9.23,8.82,9.42,9.50,9.19,8.99,9.21,9.82,9.46
1969,9.21,8.68,9.10,8.75,9.29,8.60,9.59,9.63,9.28,8.94,9.30,10.02,9.56
1970,9.09,8.54,8.98,8.63,9.17,8.43,9.47,9.53,9.15,8.82,9.18,9.94,9.45
1971,9.66,9.23,9.52,9.26,9.72,9.21,9.96,10.03,9.69,9.43,9.71,10.35,9.96
1972,8.98,8.52,8.83,8.55,9.03,8.48,9.37,9.37,9.00,8.72,9.01,9.75,9.28
1973,9.46,9.00,9.32,9.04,9.51,8.96,9.81,9.84,9.49,9.21,9.51,10.19,9.77
1974,9.77,9.38,9.62,9.37,9.81,9.35,10.09,10.11,9.77,9.58,9.80,10.42,10.06
1975,9.86,9.52,9.69,9.50,9.90,9.55,10.13,10.18,9.83,9.68,9.86,10.47,10.10
1976,9.77,9.21,9.63,9.27,9.85,9.11,10.31,10.23,9.80,9.49,9.84,10.66,10.11
1977,9.64,9.23,9.49,9.24,9.68,9.18,10.00,10.01,9.66,9.42,9.68,10.37,9.94
1978,8.98,8.55,8.85,8.59,9.03,8.52,9.25,9.34,9.02,8.75,9.04,9.69,9.29
