Variable:,tas
,Estonia,"Harju maakond","Hiiu maakond","Ida-Viru maakond","Järva maakond","Jõgeva maakond","Lääne-Viru maakond","Lääne maakond","Pärnu maakond","Põlva maakond","Rapla maakond","Saare maakond","Tartu maakond","Valga maakond","Viljandi maakond","Võru maakond","Administrative unit not available"
1943,6.19,6.20,7.12,5.74,6.04,5.91,5.74,6.67,6.60,5.94,6.44,7.16,5.99,6.09,6.17,5.83,6.01
1944,5.74,5.71,6.72,5.21,5.54,5.43,5.23,6.27,6.19,5.52,5.96,6.81,5.54,5.77,5.73,5.50,5.53
1945,4.71,4.68,6.00,4.10,4.46,4.33,4.13,5.40,5.26,4.39,4.99,6.12,4.41,4.68,4.65,4.34,4.42
1946,4.92,4.90,5.95,4.43,4.72,4.57,4.44,5.46,5.35,4.68,5.15,6.04,4.68,4.92,4.87,4.70,4.68
1947,4.25,4.25,5.22,3.77,4.08,3.93,3.78,4.81,4.66,4.03,4.50,5.32,4.04,4.21,4.18,3.99,4.07
1948,5.64,5.64,6.51,5.16,5.49,5.36,5.18,6.06,6.05,5.38,5.86,6.62,5.42,5.63,5.63,5.34,5.47
1949,6.65,6.65,7.56,6.16,6.51,6.37,6.20,7.12,7.10,6.36,6.89,7.66,6.39,6.58,6.65,6.32,6.44
1950,5.14,5.10,6.24,4.62,4.94,4.80,4.62,5.76,5.62,4.83,5.37,6.38,4.87,5.07,5.10,4.79,4.89
1951,5.07,5.06,6.16,4.56,4.90,4.74,4.56,5.68,5.54,4.74,5.31,6.27,4.78,4.97,5.05,4.69,4.83
1952,4.32,4.24,5.26,3.91,4.14,4.03,3.83,4.80,4.69,4.13,4.48,5.40,4.14,4.31,4.29,4.09,4.22
1953,5.61,5.73,6.78,5.10,5.49,5.26,5.23,6.30,6.09,5.14,5.93,6.82,5.24,5.43,5.57,5.08,5.29
1954,5.02,5.05,5.96,4.66,4.89,4.72,4.65,5.52,5.43,4.70,5.27,6.00,4.75,4.88,4.98,4.62,4.85
1955,4.22,4.11,5.37,3.51,3.98,3.85,3.53,4.88,4.76,4.01,4.45,5.58,4.00,4.24,4.25,3.99,3.92
1956,3.44,3.40,4.48,2.93,3.25,3.15,2.94,3.99,3.89,3.16,3.65,4.63,3.19,3.38,3.40,3.09,3.26
1957,5.53,5.40,6.24,5.06,5.34,5.26,5.00,5.86,5.94,5.46,5.70,6.43,5.43,5.63,5.53,5.44,5.47
1958,4.27,4.15,5.22,3.69,4.06,3.96,3.67,4.73,4.71,4.14,4.45,5.44,4.11,4.35,4.29,4.11,4.12
1959,5.92,5.97,6.95,5.40,5.78,5.58,5.45,6.48,6.36,5.59,6.19,7.03,5.66,5.87,5.93,5.56,5.68
1960,4.83,4.81,5.81,4.36,4.66,4.54,4.37,5.36,5.23,4.59,5.04,5.92,4.61,4.79,4.81,4.55,4.66
1961,6.37,6.36,7.26,5.95,6.21,6.10,5.96,6.82,6.75,6.14,6.57,7.33,6.17,6.34,6.33,6.08,6.22
1962,4.51,4.43,5.39,4.13,4.32,4.28,4.08,4.92,4.85,4.37,4.65,5.49,4.35,4.50,4.45,4.29,4.42
1963,4.28,4.33,5.31,3.78,4.12,3.95,3.82,4.88,4.71,3.95,4.54,5.36,4.02,4.19,4.26,3.90,4.05
1964,5.07,5.05,5.97,4.61,4.90,4.77,4.62,5.55,5.46,4.87,5.27,6.05,4.88,5.07,5.05,4.82,4.90
1965,4.41,4.45,5.41,3.93,4.24,4.11,3.96,4.99,4.83,4.09,4.65,5.49,4.17,4.32,4.38,4.03,4.20
1966,4.06,3.98,4.95,3.43,3.89,3.69,3.44,4.54,4.53,3.93,4.30,5.11,3.87,4.14,4.09,3.93,3.82
1967,5.34,5.28,6.26,4.88,5.14,5.05,4.85,5.83,5.75,5.15,5.52,6.44,5.16,5.35,5.33,5.11,5.19
1968,4.55,4.52,5.68,3.95,4.37,4.18,3.98,5.15,5.02,4.26,4.80,5.86,4.30,4.53,4.58,4.23,4.28
1969,3.91,3.97,5.06,3.40,3.76,3.56,3.46,4.57,4.33,3.56,4.17,5.09,3.63,3.82,3.89,3.53,3.65
1970,4.37,4.33,5.08,4.00,4.20,4.14,3.97,4.76,4.73,4.22,4.55,5.14,4.23,4.39,4.33,4.15,4.28
1971,5.35,5.28,6.23,4.71,5.19,5.00,4.73,5.84,5.85,5.16,5.60,6.43,5.16,5.43,5.42,5.17,5.10
1972,5.91,5.92,6.76,5.50,5.76,5.66,5.50,6.39,6.30,5.66,6.13,6.79,5.70,5.83,5.89,5.58,5.77
1973,5.43,5.38,6.46,4.89,5.24,5.13,4.91,5.94,5.87,5.18,5.64,6.65,5.22,5.41,5.44,5.14,5.23
1974,6.27,6.32,7.12,5.87,6.15,6.00,5.88,6.76,6.65,5.99,6.51,7.11,6.04,6.18,6.25,5.90,6.11
1975,6.90,6.86,7.80,6.35,6.74,6.58,6.38,7.39,7.34,6.68,7.14,7.90,6.70,6.91,6.92,6.65,6.68
1976,3.81,3.79,4.97,3.21,3.63,3.45,3.25,4.42,4.28,3.52,4.06,5.08,3.55,3.78,3.83,3.50,3.53
1977,4.74,4.65,5.56,4.26,4.56,4.47,4.25,5.14,5.14,4.61,4.91,5.72,4.58,4.79,4.74,4.59,4.60
1978,3.93,3.82,4.97,3.33,3.72,3.59,3.33,4.44,4.40,3.77,4.13,5.19,3.75,4.00,3.95,3.77,3.72
1979,4.81,4.76,5.56,4.42,4.65,4.59,4.40,5.20,5.16,4.67,4.98,5.62,4.67,4.81,4.79,4.60,4.72
1980,4.48,4.49,5.47,4.03,4.36,4.21,4.04,4.97,4.88,4.22,4.71,5.49,4.27,4.41,4.46,4.14,4.34
1981,5.13,4.95,5.84,4.70,4.91,4.92,4.63,5.43,5.51,5.11,5.24,6.02,5.05,5.25,5.12,5.07,5.08
1982,5.56,5.49,6.42,5.07,5.41,5.29,5.06,5.96,5.98,5.40,5.74,6.53,5.40,5.60,5.57,5.38,5.40
1983,6.22,6.07,6.96,5.72,6.01,5.97,5.69,6.56,6.64,6.14,6.36,7.14,6.11,6.31,6.21,6.09,6.11
