Variable:,tas
,Sweden,"Blekinge Laen","Dalarnas Laen","Gaevleborgs Laen","Gotlands Laen","Hallands Laen","Jaemtlands Laen","Joenkoepings Laen","Kalmar Laen","Kronobergs Laen","Norrbottens Laen","Oerebro Laen","Oestergoetlands Laen","Skaane Laen","Soedermanlands Laen","Stockholms Laen","Uppsala Laen","Vaermlands Laen","Vaesterbottens Laen","Vaesternorrlands Laen","Vaestmanlands Laen","Vaestra Goetalands Laen"
1933,2.61,7.16,2.84,3.62,7.10,7.29,1.75,6.00,6.66,6.56,-1.13,5.28,6.18,7.56,6.11,6.46,5.82,4.74,0.65,2.54,5.12,6.45
1934,4.10,8.71,4.20,5.14,8.92,8.77,3.04,7.60,8.33,8.14,0.39,6.85,7.83,9.06,7.77,8.17,7.50,6.12,2.18,4.05,6.74,7.90
1935,2.61,7.52,2.76,3.62,7.68,7.53,1.38,6.34,7.13,6.90,-1.22,5.60,6.61,7.85,6.54,6.93,6.19,4.84,0.50,2.38,5.42,6.66
1936,2.72,7.44,2.91,3.77,7.86,7.54,1.63,6.35,7.13,6.87,-1.12,5.64,6.64,7.78,6.60,7.02,6.28,4.89,0.60,2.50,5.53,6.71
1937,3.16,7.56,3.03,4.06,7.98,7.51,2.03,6.39,7.27,6.94,-0.16,5.71,6.77,7.85,6.77,7.19,6.47,4.80,1.40,3.03,5.69,6.58
1938,4.08,8.36,3.99,4.95,8.57,8.37,3.00,7.25,7.98,7.77,0.80,6.52,7.52,8.67,7.46,7.86,7.20,5.80,2.38,4.01,6.43,7.53
1939,2.68,7.74,2.79,3.79,8.05,7.61,1.61,6.49,7.36,7.06,-1.31,5.63,6.79,7.99,6.71,7.06,6.29,4.71,0.63,2.55,5.52,6.64
1940,0.82,5.23,0.73,1.49,5.53,5.40,-0.39,4.15,4.87,4.67,-2.46,3.43,4.40,5.64,4.35,4.68,3.95,2.82,-1.11,0.38,3.23,4.64
1941,0.63,5.57,0.66,1.39,5.53,5.61,-0.48,4.35,5.09,4.94,-2.92,3.37,4.50,5.94,4.28,4.55,3.77,2.66,-1.51,0.12,3.13,4.64
1942,0.50,5.03,0.53,1.24,5.03,5.25,-0.52,3.89,4.57,4.48,-2.95,3.06,4.00,5.57,3.85,4.16,3.48,2.50,-1.44,0.16,2.84,4.30
1943,3.37,8.03,3.43,4.43,8.22,7.98,2.25,6.85,7.64,7.40,-0.32,6.15,7.15,8.34,7.11,7.55,6.84,5.32,1.47,3.33,6.03,7.08
1944,2.82,7.56,2.78,3.69,7.84,7.57,1.58,6.39,7.22,6.96,-0.76,5.57,6.65,7.91,6.55,6.95,6.21,4.79,0.86,2.59,5.42,6.67
1945,2.59,7.72,2.78,3.52,7.75,7.80,1.46,6.57,7.28,7.13,-1.41,5.60,6.69,8.10,6.46,6.78,6.00,4.92,0.41,2.26,5.31,6.84
1946,2.63,6.99,2.56,3.38,7.19,7.11,1.58,5.93,6.66,6.45,-0.77,5.16,6.16,7.39,6.06,6.45,5.73,4.52,0.86,2.42,4.99,6.28
1947,1.75,6.59,1.79,2.66,6.65,6.66,0.63,5.40,6.16,5.97,-1.94,4.48,5.58,6.99,5.45,5.81,5.03,3.74,-0.28,1.51,4.31,5.67
1948,2.85,7.63,2.77,3.67,7.66,7.68,1.78,6.39,7.10,7.00,-0.68,5.39,6.51,8.02,6.34,6.71,5.98,4.69,0.97,2.66,5.23,6.64
1949,3.57,8.44,3.77,4.58,8.64,8.49,2.37,7.35,8.08,7.87,-0.34,6.54,7.56,8.78,7.44,7.82,7.09,5.85,1.49,3.36,6.36,7.67
1950,2.59,7.56,2.46,3.42,7.74,7.54,1.35,6.34,7.17,6.94,-1.02,5.36,6.57,7.88,6.43,6.78,5.98,4.49,0.55,2.25,5.21,6.51
1951,2.10,7.53,2.36,3.18,7.61,7.50,0.80,6.27,7.07,6.87,-2.05,5.33,6.45,7.87,6.34,6.71,5.88,4.48,-0.31,1.71,5.18,6.45
1952,1.26,6.45,1.33,2.18,6.50,6.39,0.01,5.13,5.95,5.76,-2.60,4.24,5.34,6.80,5.26,5.63,4.81,3.46,-0.94,0.95,4.10,5.38
1953,3.57,8.12,3.59,4.42,8.15,8.14,2.56,6.95,7.69,7.52,0.06,6.18,7.16,8.44,7.07,7.44,6.73,5.49,1.72,3.40,6.03,7.26
1954,2.31,6.69,2.09,3.04,6.91,6.77,1.17,5.57,6.34,6.12,-0.93,4.78,5.80,7.00,5.76,6.17,5.47,4.03,0.57,2.13,4.68,5.87
1955,1.11,6.58,1.75,2.40,6.86,6.60,0.08,5.37,6.20,5.92,-3.54,4.52,5.62,6.87,5.54,5.88,5.05,3.88,-1.43,0.81,4.39,5.73
1956,0.85,5.72,1.01,1.67,5.83,5.96,-0.11,4.67,5.32,5.17,-2.99,3.65,4.74,6.12,4.53,4.85,4.10,3.12,-1.35,0.47,3.42,5.04
1957,2.35,7.21,2.31,3.10,7.30,7.35,1.15,6.05,6.74,6.61,-1.23,5.05,6.15,7.61,5.94,6.28,5.54,4.42,0.35,2.03,4.84,6.36
1958,1.45,6.49,1.44,2.20,6.65,6.55,0.21,5.25,6.03,5.84,-2.18,4.24,5.40,6.89,5.24,5.58,4.79,3.57,-0.69,0.93,4.08,5.53
1959,3.37,8.16,3.36,4.24,8.26,8.24,2.27,6.98,7.72,7.55,-0.25,6.05,7.15,8.50,7.00,7.39,6.64,5.30,1.43,3.14,5.87,7.21
1960,2.10,6.92,2.11,2.97,7.10,6.91,0.86,5.68,6.50,6.30,-1.40,4.87,5.95,7.30,5.87,6.27,5.50,4.06,0.01,1.71,4.73,5.88
1961,3.21,7.89,3.23,4.22,8.27,7.90,2.18,6.74,7.59,7.30,-0.55,5.95,7.06,8.17,7.00,7.40,6.65,5.14,1.33,3.17,5.87,7.01
1962,1.35,6.21,1.32,2.23,6.45,6.22,0.29,4.97,5.81,5.56,-2.38,4.08,5.22,6.53,5.16,5.54,4.76,3.31,-0.63,1.10,3.98,5.27
1963,1.90,6.10,1.64,2.64,6.45,6.13,1.08,4.91,5.80,5.50,-1.26,4.11,5.20,6.43,5.20,5.65,4.91,3.32,0.27,1.80,4.05,5.13
1964,2.53,6.88,2.39,3.34,7.05,6.93,1.58,5.73,6.52,6.29,-0.82,4.99,6.02,7.18,5.95,6.30,5.59,4.21,0.79,2.38,4.84,6.03
1965,1.40,6.19,1.43,2.36,6.37,6.25,0.43,4.93,5.77,5.52,-2.41,4.14,5.21,6.54,5.17,5.55,4.82,3.39,-0.52,1.28,4.04,5.29
1966,0.77,6.29,1.06,1.82,6.24,6.28,-0.38,4.95,5.75,5.63,-3.49,3.99,5.12,6.76,4.93,5.27,4.47,3.21,-1.63,0.31,3.77,5.19
1967,2.41,7.67,2.54,3.39,7.65,7.63,1.21,6.35,7.18,6.99,-1.51,5.41,6.56,8.04,6.38,6.69,5.91,4.62,0.15,2.03,5.22,6.59
1968,1.47,7.23,1.60,2.47,7.31,7.13,0.22,5.88,6.79,6.54,-2.83,4.73,6.09,7.53,5.86,6.18,5.29,3.79,-0.96,0.97,4.54,5.98
1969,1.56,6.73,1.75,2.55,6.61,6.76,0.46,5.48,6.26,6.09,-2.39,4.62,5.71,7.03,5.54,5.85,5.09,3.83,-0.72,1.12,4.40,5.79
1970,1.42,6.01,1.22,2.09,5.99,6.06,0.41,4.66,5.45,5.33,-1.85,3.77,4.81,6.45,4.71,5.09,4.40,3.14,-0.39,1.19,3.61,5.02
1971,2.12,7.31,2.61,3.33,7.33,7.47,1.20,6.13,6.84,6.73,-2.29,5.32,6.30,7.73,6.15,6.47,5.76,4.73,-0.24,1.88,5.09,6.57
1972,2.93,7.36,2.87,3.84,7.65,7.39,1.83,6.20,7.04,6.78,-0.45,5.63,6.61,7.61,6.59,6.99,6.30,4.74,1.05,2.72,5.52,6.51
1973,2.54,7.61,2.88,3.76,7.83,7.55,1.56,6.30,7.21,6.93,-1.68,5.57,6.65,7.86,6.60,6.93,6.19,4.82,0.42,2.49,5.46,6.61
1974,3.35,7.75,3.37,4.23,7.89,7.92,2.13,6.64,7.35,7.20,-0.07,6.08,6.92,8.11,6.93,7.28,6.65,5.38,1.43,3.14,5.94,7.10
1975,3.56,8.46,3.92,4.79,8.76,8.50,2.39,7.29,8.11,7.85,-0.57,6.67,7.65,8.70,7.63,7.97,7.30,5.89,1.49,3.52,6.57,7.66
1976,1.61,6.74,1.89,2.56,6.53,6.83,0.43,5.46,6.17,6.08,-2.38,4.66,5.65,7.14,5.51,5.77,5.04,4.05,-0.61,1.21,4.43,5.90
1977,1.79,7.05,2.01,2.77,6.90,7.10,0.53,5.75,6.47,6.40,-2.21,4.85,5.90,7.48,5.70,6.02,5.29,4.15,-0.42,1.48,4.62,6.06
1978,1.26,6.71,1.48,2.17,6.65,6.79,-0.04,5.49,6.21,6.09,-2.78,4.42,5.61,7.06,5.33,5.59,4.76,3.71,-1.16,0.70,4.16,5.77
1979,1.39,6.04,1.14,2.11,6.36,5.97,0.10,4.80,5.67,5.41,-1.86,3.93,5.10,6.40,5.06,5.52,4.71,3.03,-0.42,1.11,3.87,4.93
1980,1.38,6.21,1.50,2.33,6.52,6.33,0.32,5.02,5.78,5.60,-2.38,4.15,5.23,6.66,5.22,5.67,4.90,3.43,-0.74,1.07,4.08,5.37
1981,1.18,6.54,1.42,2.25,6.79,6.53,-0.01,5.25,6.06,5.89,-2.95,4.22,5.39,7.00,5.31,5.75,4.93,3.48,-1.12,0.85,4.11,5.44
1982,2.47,7.27,2.52,3.31,7.45,7.33,1.31,6.04,6.79,6.65,-1.18,5.22,6.25,7.71,6.18,6.58,5.83,4.56,0.49,2.16,5.08,6.38
1983,2.70,7.76,3.09,3.78,7.99,7.80,1.61,6.57,7.30,7.15,-1.45,5.74,6.76,8.17,6.65,7.04,6.28,5.17,0.50,2.48,5.56,6.91
1984,2.69,7.33,2.85,3.69,7.70,7.47,1.59,6.25,7.00,6.79,-1.06,5.55,6.54,7.67,6.53,6.97,6.24,4.81,0.69,2.49,5.45,6.57
1985,0.31,5.48,0.37,1.04,5.59,5.53,-0.73,4.21,4.98,4.86,-3.49,3.11,4.28,6.03,4.11,4.49,3.65,2.51,-1.97,-0.26,2.91,4.47
1986,1.66,6.31,1.78,2.55,6.71,6.30,0.57,5.11,5.95,5.69,-1.94,4.39,5.43,6.73,5.43,5.87,5.08,3.69,-0.37,1.35,4.31,5.38
1987,0.81,5.42,0.70,1.46,5.55,5.51,-0.02,4.18,4.93,4.79,-2.63,3.18,4.29,5.95,4.18,4.65,3.87,2.62,-1.06,0.50,3.01,4.42
1988,2.54,7.42,2.79,3.56,7.52,7.59,1.65,6.23,6.90,6.83,-1.50,5.28,6.31,7.95,6.19,6.65,5.94,4.79,0.52,2.43,5.11,6.61
1989,3.87,8.70,4.01,4.84,8.85,8.66,2.68,7.45,8.23,8.05,0.14,6.67,7.71,9.04,7.61,8.01,7.28,5.99,1.87,3.71,6.52,7.74
1990,3.91,8.83,4.03,4.80,8.92,8.79,2.77,7.52,8.33,8.16,0.20,6.70,7.77,9.18,7.65,8.03,7.28,6.03,1.89,3.63,6.53,7.81
1991,2.97,7.54,3.12,3.99,7.95,7.56,1.95,6.36,7.16,6.92,-0.76,5.68,6.66,7.89,6.69,7.14,6.43,5.02,1.08,2.91,5.62,6.70
1992,3.37,8.17,3.55,4.40,8.45,8.14,2.15,6.87,7.68,7.49,-0.32,6.20,7.17,8.57,7.19,7.63,6.91,5.50,1.34,3.13,6.11,7.21
1993,2.42,7.06,2.49,3.44,7.58,6.97,1.24,5.81,6.70,6.41,-1.17,5.12,6.17,7.39,6.23,6.74,5.99,4.34,0.54,2.29,5.08,6.01
1994,2.44,7.87,2.58,3.38,7.91,7.82,0.96,6.53,7.30,7.18,-1.46,5.57,6.71,8.31,6.56,6.95,6.12,4.72,0.10,1.92,5.39,6.70
1995,2.57,7.52,2.63,3.52,7.76,7.47,1.38,6.15,7.00,6.82,-1.21,5.27,6.39,7.94,6.35,6.83,6.06,4.59,0.65,2.47,5.19,6.42
1996,1.90,6.20,1.77,2.72,6.55,6.14,0.73,4.96,5.82,5.56,-1.32,4.40,5.34,6.54,5.46,5.92,5.19,3.58,0.23,1.70,4.36,5.27
1997,3.20,7.65,3.48,4.31,8.03,7.60,2.24,6.41,7.28,6.99,-0.54,5.91,6.80,8.02,6.90,7.35,6.66,5.31,1.35,3.20,5.85,6.81
1998,2.36,7.23,2.68,3.48,7.43,7.21,1.48,5.95,6.74,6.59,-1.68,5.20,6.18,7.70,6.15,6.60,5.87,4.58,0.33,2.28,5.08,6.25
1999,3.04,8.07,3.35,4.19,8.45,7.97,1.91,6.78,7.68,7.42,-0.96,6.07,7.14,8.48,7.19,7.65,6.83,5.30,0.84,2.78,6.02,6.98
2000,3.91,8.62,4.12,4.95,8.85,8.57,2.75,7.44,8.21,8.00,0.16,6.78,7.72,8.99,7.69,8.11,7.42,6.07,1.89,3.70,6.66,7.75
2001,2.65,7.60,2.82,3.79,8.05,7.44,1.47,6.27,7.22,6.91,-1.17,5.64,6.72,7.96,6.71,7.18,6.40,4.79,0.46,2.43,5.58,6.50
2002,3.19,8.19,3.49,4.35,8.52,8.24,2.20,6.96,7.79,7.54,-0.89,6.19,7.26,8.61,7.20,7.59,6.82,5.47,0.98,3.00,6.06,7.27
2003,3.14,7.61,3.33,4.15,7.98,7.72,2.19,6.42,7.25,6.97,-0.47,5.81,6.82,8.07,6.78,7.20,6.45,5.17,1.18,2.93,5.67,6.86
2004,3.17,7.61,3.32,4.26,7.96,7.71,2.25,6.44,7.25,6.96,-0.48,5.84,6.82,8.01,6.78,7.21,6.46,5.20,1.20,3.03,5.72,6.91
2005,3.50,7.88,3.59,4.51,8.18,7.92,2.42,6.70,7.52,7.22,0.02,6.15,7.12,8.25,7.09,7.51,6.77,5.50,1.61,3.30,5.98,7.15
2006,3.76,8.42,4.04,4.91,8.78,8.46,2.83,7.24,8.07,7.78,-0.13,6.59,7.62,8.80,7.56,8.00,7.25,5.92,1.72,3.64,6.45,7.63
2007,3.60,8.46,3.69,4.64,8.74,8.50,2.40,7.22,8.02,7.78,-0.13,6.41,7.48,8.88,7.40,7.86,7.10,5.72,1.55,3.35,6.27,7.54
2008,3.75,8.59,3.99,4.93,9.01,8.68,2.69,7.44,8.24,7.98,-0.34,6.77,7.77,8.97,7.73,8.19,7.43,6.06,1.68,3.64,6.61,7.81
2009,3.09,7.79,3.16,3.97,8.12,7.90,2.03,6.60,7.38,7.18,-0.57,5.82,6.84,8.21,6.79,7.19,6.39,5.17,1.09,2.83,5.64,6.94
2010,1.24,6.34,1.09,1.99,6.67,6.18,-0.20,4.98,5.90,5.66,-2.19,4.05,5.22,6.67,5.19,5.68,4.72,3.15,-0.93,0.72,3.93,5.11
2011,3.96,8.17,3.98,4.89,8.67,8.29,2.94,7.02,7.86,7.57,0.59,6.48,7.47,8.59,7.44,7.87,7.12,5.84,2.18,3.85,6.34,7.45
2012,2.48,7.53,2.73,3.62,7.81,7.58,1.32,6.25,7.09,6.90,-1.47,5.50,6.53,7.93,6.50,6.91,6.11,4.76,0.22,2.19,5.34,6.60
2013,3.32,7.79,3.25,4.21,8.27,7.82,2.12,6.53,7.43,7.16,-0.02,5.89,6.91,8.13,6.91,7.40,6.61,5.17,1.47,3.13,5.77,6.86
2014,4.18,9.10,4.49,5.10,8.92,9.33,3.17,7.94,8.57,8.54,0.15,7.08,8.02,9.61,7.85,8.12,7.44,6.59,2.10,3.97,6.82,8.38
2015,3.91,8.61,3.94,4.89,8.98,8.51,2.83,7.31,8.16,7.92,0.30,6.62,7.62,8.85,7.65,8.12,7.37,5.79,2.02,3.79,6.57,7.56
2016,3.44,8.29,3.38,4.22,8.41,8.25,2.23,6.99,7.81,7.60,-0.02,6.11,7.22,8.60,7.14,7.52,6.74,5.37,1.40,3.04,5.98,7.26
2017,3.16,8.16,3.28,4.12,8.20,8.16,2.13,6.84,7.65,7.48,-0.69,5.95,7.06,8.53,6.97,7.36,6.59,5.21,1.12,2.91,5.82,7.09
2018,3.62,8.82,3.62,4.56,8.93,8.79,2.31,7.48,8.30,8.13,-0.19,6.53,7.71,9.21,7.65,8.04,7.24,5.65,1.47,3.28,6.44,7.67
2019,3.34,8.88,3.59,4.49,9.05,8.78,2.16,7.48,8.35,8.14,-0.96,6.46,7.68,9.25,7.58,8.07,7.21,5.66,1.04,3.09,6.39,7.68
2020,4.47,9.30,4.64,5.65,9.80,9.37,3.34,8.15,8.93,8.69,0.54,7.39,8.45,9.60,8.52,9.07,8.30,6.57,2.36,4.41,7.43,8.42
2021,3.02,8.11,3.17,4.04,8.27,8.15,1.90,6.91,7.70,7.48,-0.94,5.90,7.10,8.50,6.99,7.43,6.66,5.15,0.84,2.74,5.84,7.11
