Variable:,tas
,Austria,Burgenland,Karnten,Niederosterreich,Oberosterreich,Salzburg,Steiermark,Tirol,Vorarlberg,Wien
1973,6.01,9.36,5.24,7.96,7.14,3.81,5.90,3.05,4.90,9.57
1974,6.70,10.08,5.83,8.72,7.89,4.48,6.62,3.65,5.45,10.32
1975,6.71,10.07,6.02,8.66,7.80,4.51,6.64,3.71,5.48,10.26
1976,6.18,9.43,5.38,8.11,7.33,3.98,6.08,3.24,5.23,9.69
1977,6.78,10.03,6.04,8.68,7.97,4.65,6.74,3.78,5.48,10.23
1978,5.66,8.80,4.88,7.53,6.86,3.58,5.50,2.81,4.65,9.06
1979,6.21,9.57,5.47,8.09,7.33,4.04,6.15,3.24,5.05,9.67
1980,5.47,8.67,4.73,7.31,6.59,3.33,5.40,2.60,4.47,8.91
1981,6.32,9.87,5.35,8.45,7.47,3.95,6.28,3.16,5.09,10.10
1982,6.79,9.95,6.07,8.59,7.90,4.70,6.67,4.00,5.90,10.14
1983,7.07,10.43,6.20,9.05,8.18,4.86,6.94,4.15,6.01,10.64
1984,5.94,9.33,5.11,7.94,7.05,3.66,5.89,2.93,4.87,9.57
1985,5.82,8.97,5.15,7.60,6.90,3.70,5.75,3.02,4.93,9.18
1986,6.24,9.34,5.45,8.10,7.42,4.19,6.05,3.47,5.31,9.64
1987,6.04,9.20,5.33,7.84,7.13,3.95,5.93,3.25,5.16,9.44
1988,6.94,10.15,6.04,8.91,8.13,4.75,6.82,4.03,5.97,10.50
1989,7.21,10.35,6.34,9.13,8.35,5.08,7.05,4.40,6.32,10.71
1990,7.18,10.43,6.34,9.10,8.28,5.01,7.03,4.35,6.30,10.68
1991,6.30,9.43,5.53,8.14,7.40,4.20,6.14,3.59,5.47,9.70
1992,7.45,10.68,6.64,9.36,8.60,5.33,7.38,4.56,6.21,10.93
1993,6.86,10.03,6.13,8.71,8.01,4.77,6.79,4.01,5.69,10.28
1994,8.11,11.34,7.33,10.02,9.28,5.93,8.07,5.15,6.86,11.61
1995,6.83,10.14,5.98,8.80,7.97,4.57,6.80,3.83,5.68,10.40
1996,5.84,8.95,5.29,7.49,6.82,3.81,5.79,3.20,5.01,9.07
1997,6.98,9.95,6.41,8.62,7.98,4.95,6.91,4.33,6.28,10.17
1998,7.13,10.47,6.36,9.11,8.19,4.84,7.15,4.12,5.95,10.72
1999,7.17,10.52,6.39,9.19,8.25,4.89,7.17,4.12,5.93,10.83
2000,7.97,11.40,7.18,10.02,9.06,5.67,8.02,4.82,6.59,11.65
2001,7.03,10.31,6.40,8.86,8.10,4.84,7.04,4.05,5.92,10.43
2002,7.73,11.03,7.03,9.56,8.85,5.59,7.71,4.80,6.59,11.13
2003,7.35,10.56,6.65,9.16,8.42,5.22,7.29,4.54,6.47,10.69
2004,6.75,10.02,6.00,8.65,7.86,4.57,6.67,3.86,5.76,10.25
2005,6.42,9.71,5.60,8.33,7.52,4.20,6.33,3.52,5.57,9.90
2006,7.22,10.36,6.51,8.94,8.34,5.15,7.12,4.52,6.38,10.49
2007,7.80,11.24,7.05,9.78,8.93,5.54,7.80,4.70,6.48,11.33
2008,7.65,11.21,6.89,9.71,8.77,5.36,7.68,4.44,6.11,11.37
2009,7.50,11.00,6.78,9.46,8.59,5.22,7.50,4.39,6.20,11.12
2010,6.53,9.99,5.88,8.46,7.64,4.28,6.59,3.39,5.09,10.16
2011,7.91,11.01,7.22,9.60,9.04,5.92,7.84,5.17,6.98,11.16
2012,7.68,11.17,6.96,9.59,8.79,5.49,7.71,4.61,6.33,11.18
2013,7.36,10.87,6.67,9.29,8.48,5.14,7.43,4.18,5.96,10.99
2014,8.36,11.85,7.54,10.39,9.47,6.09,8.31,5.26,7.17,12.07
2015,8.29,11.68,7.43,10.27,9.47,6.06,8.21,5.28,7.22,11.86
2016,7.75,11.11,6.96,9.69,8.89,5.54,7.71,4.73,6.61,11.28
2017,7.69,11.16,6.87,9.63,8.81,5.41,7.69,4.66,6.64,11.18
2018,8.54,11.99,7.75,10.55,9.65,6.21,8.52,5.44,7.42,12.17
2019,8.39,11.93,7.65,10.40,9.49,6.09,8.43,5.21,7.11,12.06
2020,8.24,11.46,7.45,10.09,9.39,6.07,8.13,5.40,7.40,11.67
2021,7.35,10.66,6.70,9.18,8.40,5.20,7.38,4.36,6.19,10.78
