Variable:,tas
,Finland,Aaland,"Eastern Finland",Lapland,Oulu,"Southern Finland","Western Finland"
1998,1.09,5.43,2.29,-1.95,0.52,3.96,3.24
1999,2.11,6.43,3.37,-0.87,1.53,4.96,4.16
2000,3.23,7.00,4.40,0.47,2.87,5.72,5.06
2001,1.86,6.09,3.00,-0.88,1.31,4.52,3.75
2002,1.94,6.35,3.06,-0.88,1.36,4.64,3.96
2003,2.20,5.99,3.21,-0.22,1.84,4.39,3.85
2004,2.30,6.15,3.27,-0.17,1.83,4.60,4.07
2005,2.97,6.44,4.03,0.51,2.73,5.09,4.56
2006,2.70,6.84,3.76,0.03,2.18,5.24,4.63
2007,2.92,6.84,4.06,0.25,2.46,5.45,4.72
2008,2.96,7.27,4.27,-0.12,2.45,5.81,5.05
2009,2.19,6.12,3.21,-0.32,1.76,4.57,3.93
2010,0.91,4.77,2.01,-1.59,0.40,3.42,2.58
2011,3.36,7.04,4.38,0.86,2.96,5.69,5.06
2012,1.59,5.83,2.68,-1.06,1.03,4.14,3.48
2013,3.17,6.68,4.38,0.49,2.77,5.58,4.92
2014,3.29,6.86,4.61,0.35,2.97,5.82,5.19
2015,3.56,7.15,4.87,0.60,3.16,6.19,5.49
2016,2.95,6.34,3.95,0.53,2.59,5.21,4.55
2017,2.36,6.19,3.57,-0.47,1.93,4.96,4.27
2018,3.14,6.86,4.34,0.29,2.78,5.73,5.01
2019,2.63,6.86,4.17,-0.78,2.11,5.73,4.85
2020,4.11,7.91,5.55,0.87,3.79,6.91,6.18
2021,2.30,6.17,3.58,-0.67,1.82,5.03,4.30
