Key,T°C
Bulgaria1951,11.42
Bulgaria1952,11.39
Bulgaria1953,10.07
Bulgaria1954,10.09
Bulgaria1955,10.88
Bulgaria1956,9.64
Bulgaria1957,10.71
Bulgaria1958,10.97
Bulgaria1959,10.07
Bulgaria1960,11.08
Bulgaria1961,10.9
Bulgaria1962,10.77
Bulgaria1963,10.45
Bulgaria1964,10.05
Bulgaria1965,10.05
Bulgaria1966,11.51
Bulgaria1967,10.44
Bulgaria1968,10.67
Bulgaria1969,10.17
Bulgaria1970,10.74
Bulgaria1971,10.43
Bulgaria1972,10.48
Bulgaria1973,10.17
Bulgaria1974,10.37
Bulgaria1975,10.68
Bulgaria1976,9.63
Bulgaria1977,10.8
Bulgaria1978,10.09
Bulgaria1979,10.87
Bulgaria1980,9.79
Bulgaria1981,10.58
Bulgaria1982,10.39
Bulgaria1983,10.56
Bulgaria1984,10.3
Bulgaria1985,9.99
Bulgaria1986,10.51
Bulgaria1987,9.99
Bulgaria1988,10.5
Bulgaria1989,10.65
Bulgaria1990,11.17
Bulgaria1991,10.05
Bulgaria1992,10.47
Bulgaria1993,10.25
Bulgaria1994,11.65
Bulgaria1995,10.62
Bulgaria1996,10.24
Bulgaria1997,10.07
Bulgaria1998,10.82
Bulgaria1999,11.54
Bulgaria2000,11.54
Bulgaria2001,11.45
Bulgaria2002,11.52
Bulgaria2003,10.69
Bulgaria2004,11.08
Bulgaria2005,10.7
Bulgaria2006,10.86
Bulgaria2007,11.95
Bulgaria2008,11.86
Bulgaria2009,11.83
Bulgaria2010,11.79
Bulgaria2011,10.88
Bulgaria2012,11.88
Bulgaria2013,11.97
Bulgaria2014,12.01
Bulgaria2015,11.86
Bulgaria2016,11.91
Bulgaria2017,11.76
Bulgaria2018,12.35
Bulgaria2019,12.82
Bulgaria2020,12.5
Bulgaria2021,11.98
Cyprus1901,17.91
Cyprus1902,17.46
Cyprus1903,16.69
Cyprus1904,17.06
Cyprus1905,17.35
Cyprus1906,17.49
Cyprus1907,16.89
Cyprus1908,16.99
Cyprus1909,18.11
Cyprus1910,17.16
Cyprus1911,17.02
Cyprus1912,17.26
Cyprus1913,17.27
Cyprus1914,17.58
Cyprus1915,18.24
Cyprus1916,18.56
Cyprus1917,18.02
Cyprus1918,17.96
Cyprus1919,18.17
Cyprus1920,17.53
Cyprus1921,17.25
Cyprus1922,18.11
Cyprus1923,18.36
Cyprus1924,17.89
Cyprus1925,18.19
Cyprus1926,18.28
Cyprus1927,18.56
Cyprus1928,18.32
Cyprus1929,17.83
Cyprus1930,18.57
Cyprus1931,18.19
Cyprus1932,18.12
Cyprus1933,17.22
Cyprus1934,18.16
Cyprus1935,18.49
Cyprus1936,18.23
Cyprus1937,18.65
Cyprus1938,17.89
Cyprus1939,18.58
Cyprus1940,18.2
Cyprus1941,18.21
Cyprus1942,18.12
Cyprus1943,17.78
Cyprus1944,18.06
Cyprus1945,17.73
Cyprus1946,18.45
Cyprus1947,18.89
Cyprus1948,17.48
Cyprus1949,17.32
Cyprus1950,17.91
Cyprus1951,18.54
Cyprus1952,18.54
Cyprus1953,17.46
Cyprus1954,18.42
Cyprus1955,18.97
Cyprus1956,17.71
Cyprus1957,18.24
Cyprus1958,18.4
Cyprus1959,17.51
Cyprus1960,18.85
Cyprus1961,18.03
Cyprus1962,19.08
Cyprus1963,18.53
Cyprus1964,17.72
Cyprus1965,18.07
Cyprus1966,19.11
Cyprus1967,17.39
Cyprus1968,18.42
Cyprus1969,18.56
Cyprus1970,18.65
Cyprus1971,18.09
Cyprus1972,17.56
Cyprus1973,18.3
Cyprus1974,18.17
Cyprus1975,17.72
Cyprus1976,17.38
Cyprus1977,17.88
Cyprus1978,18.29
Cyprus1979,18.53
Cyprus1980,17.7
Cyprus1981,18.38
Cyprus1982,17.39
Cyprus1983,17.58
Cyprus1984,17.79
Cyprus1985,18.22
Cyprus1986,18.22
Cyprus1987,17.8
Cyprus1988,17.76
Cyprus1989,17.93
Cyprus1990,18.03
Cyprus1991,17.99
Cyprus1992,16.94
Cyprus1993,17.93
Cyprus1994,18.85
Cyprus1995,18.21
Cyprus1996,18.47
Cyprus1997,17.69
Cyprus1998,19.08
Cyprus1999,19.19
Cyprus2000,18.48
Cyprus2001,19.55
Cyprus2002,18.8
Cyprus2003,18.95
Cyprus2004,18.73
Cyprus2005,18.66
Cyprus2006,18.52
Cyprus2007,18.97
Cyprus2008,19.04
Cyprus2009,19.06
Cyprus2010,20.35
Cyprus2011,18.56
Cyprus2012,19.32
Cyprus2013,19.36
Cyprus2014,19.49
Cyprus2015,18.86
Cyprus2016,19.55
Cyprus2017,19.16
Cyprus2018,20.07
Cyprus2019,19.44
Cyprus2020,19.73
Cyprus2021,19.84
Czechia1901,6.76
Czechia1902,6.23
Czechia1903,7.38
Czechia1904,7.51
Czechia1905,7.15
Czechia1906,7.29
Czechia1907,7.03
Czechia1908,6.55
Czechia1909,6.49
Czechia1910,7.39
Czechia1911,7.89
Czechia1912,6.62
Czechia1913,7.27
Czechia1914,7.14
Czechia1915,6.98
Czechia1916,7.78
Czechia1917,6.77
Czechia1918,7.73
Czechia1919,6.54
Czechia1920,7.71
Czechia1921,7.93
Czechia1922,6.32
Czechia1923,7.27
Czechia1924,6.43
Czechia1925,7.27
Czechia1926,7.8
Czechia1927,7.24
Czechia1928,7.47
Czechia1929,6.76
Czechia1930,7.83
Czechia1931,6.61
Czechia1932,7.36
Czechia1933,6.29
Czechia1934,8.66
Czechia1935,7.28
Czechia1936,7.48
Czechia1937,7.69
Czechia1938,7.65
Czechia1939,7.33
Czechia1940,5.44
Czechia1941,6.06
Czechia1942,6.47
Czechia1943,7.81
Czechia1944,7.18
Czechia1945,7.76
Czechia1946,7.69
Czechia1947,7.57
Czechia1948,7.96
Czechia1949,7.99
Czechia1950,7.9
Czechia1951,8.24
Czechia1952,7.21
Czechia1953,8.15
Czechia1954,6.77
Czechia1955,6.82
Czechia1956,6.26
Czechia1957,7.85
Czechia1958,7.59
Czechia1959,7.96
