key,pr_mm/yr
Bulgaria1941,725.15
Bulgaria1942,598.81
Bulgaria1943,607.79
Bulgaria1944,758.51
Bulgaria1945,456.75
Bulgaria1946,575.3
Bulgaria1947,584.09
Bulgaria1948,491.87
Bulgaria1949,595.61
Bulgaria1950,489.34
Bulgaria1951,619.59
Bulgaria1952,656.4
Bulgaria1953,567.91
Bulgaria1954,750.94
Bulgaria1955,833.75
Bulgaria1956,735.99
Bulgaria1957,706.86
Bulgaria1958,524.24
Bulgaria1959,664.97
Bulgaria1960,759.08
Bulgaria1961,641.08
Bulgaria1962,649.86
Bulgaria1963,677.08
Bulgaria1964,629.78
Bulgaria1965,554.26
Bulgaria1966,832.71
Bulgaria1967,575.66
Bulgaria1968,601.49
Bulgaria1969,688.87
Bulgaria1970,660.45
Bulgaria1971,750.37
Bulgaria1972,661.15
Bulgaria1973,668.34
Bulgaria1974,597.84
Bulgaria1975,729.63
Bulgaria1976,666.02
Bulgaria1977,617.57
Bulgaria1978,689.14
Bulgaria1979,772.55
Bulgaria1980,717.56
Bulgaria1981,657.96
Bulgaria1982,577.24
Bulgaria1983,585.3
Bulgaria1984,597.5
Bulgaria1985,464.42
Bulgaria1986,529.73
Bulgaria1987,655.61
Bulgaria1988,593.35
Bulgaria1989,543.31
Bulgaria1990,496.61
Bulgaria1991,659.11
Bulgaria1992,522.96
Bulgaria1993,499.08
Bulgaria1994,588.92
Bulgaria1995,773.37
Bulgaria1996,629.84
Bulgaria1997,702.38
Bulgaria1998,737.18
Bulgaria1999,686.12
Bulgaria2000,433.63
Bulgaria2001,552.33
Bulgaria2002,703.82
Bulgaria2003,615.62
Bulgaria2004,630.66
Bulgaria2005,808.69
Bulgaria2006,679.76
Bulgaria2007,694.18
Bulgaria2008,510.9
Bulgaria2009,751.01
Bulgaria2010,787.21
Bulgaria2011,532.72
Bulgaria2012,663.29
Bulgaria2013,604.88
Bulgaria2014,949.68
Bulgaria2015,754.09
Bulgaria2016,693.42
Bulgaria2017,760.61
Bulgaria2018,718.75
Bulgaria2019,562.68
Bulgaria2020,629.39
Bulgaria2021,809.23
Cyprus1901,282.61
Cyprus1902,517.09
Cyprus1903,408.41
Cyprus1904,586.08
Cyprus1905,513.32
Cyprus1906,644.43
Cyprus1907,562.38
Cyprus1908,607.02
Cyprus1909,533.54
Cyprus1910,544.38
Cyprus1911,759.56
Cyprus1912,507.32
Cyprus1913,592.03
Cyprus1914,536.89
Cyprus1915,301.05
Cyprus1916,520.27
Cyprus1917,493.21
Cyprus1918,645.98
Cyprus1919,507.89
Cyprus1920,573.83
Cyprus1921,607.87
Cyprus1922,490.95
Cyprus1923,522.13
Cyprus1924,618.23
Cyprus1925,343.03
Cyprus1926,679.84
Cyprus1927,397.93
Cyprus1928,522.87
Cyprus1929,562.17
Cyprus1930,505.52
Cyprus1931,462.16
Cyprus1932,291.65
Cyprus1933,284.62
Cyprus1934,520.95
Cyprus1935,584.72
Cyprus1936,517.85
Cyprus1937,410.53
Cyprus1938,599.35
Cyprus1939,469.5
Cyprus1940,565.47
Cyprus1941,402.86
Cyprus1942,522.37
Cyprus1943,477.76
Cyprus1944,589.94
Cyprus1945,444.89
Cyprus1946,454.4
Cyprus1947,510.54
Cyprus1948,497.39
Cyprus1949,563.98
Cyprus1950,404.38
Cyprus1951,462.68
Cyprus1952,578.16
Cyprus1953,506.82
Cyprus1954,586.04
Cyprus1955,405.41
Cyprus1956,418.49
Cyprus1957,459.46
Cyprus1958,396.51
Cyprus1959,382.54
Cyprus1960,367.17
Cyprus1961,594.81
Cyprus1962,528.59
Cyprus1963,437.93
Cyprus1964,441.8
Cyprus1965,491.28
Cyprus1966,528.28
Cyprus1967,562.35
Cyprus1968,639.28
Cyprus1969,534.73
Cyprus1970,436.26
Cyprus1971,433.87
Cyprus1972,304.5
Cyprus1973,296.02
Cyprus1974,425.0
Cyprus1975,573.95
Cyprus1976,538.75
Cyprus1977,396.01
Cyprus1978,582.3
Cyprus1979,472.85
Cyprus1980,439.5
Cyprus1981,634.56
Cyprus1982,355.96
Cyprus1983,493.67
Cyprus1984,496.05
Cyprus1985,438.21
Cyprus1986,392.76
Cyprus1987,553.7
Cyprus1988,635.07
Cyprus1989,349.46
Cyprus1990,295.8
Cyprus1991,606.62
Cyprus1992,431.3
Cyprus1993,350.51
Cyprus1994,601.63
Cyprus1995,300.39
Cyprus1996,489.34
Cyprus1997,428.3
Cyprus1998,436.18
Cyprus1999,290.49
Cyprus2000,493.39
Cyprus2001,505.94
Cyprus2002,438.03
Cyprus2003,585.69
Cyprus2004,500.05
Cyprus2005,389.97
Cyprus2006,368.42
Cyprus2007,443.22
Cyprus2008,278.42
Cyprus2009,613.16
Cyprus2010,418.97
Cyprus2011,515.79
Cyprus2012,711.06
Cyprus2013,340.57
Cyprus2014,454.68
Cyprus2015,493.38
Cyprus2016,402.25
Cyprus2017,346.53
Cyprus2018,550.49
Cyprus2019,630.67
Cyprus2020,485.64
Cyprus2021,407.53
Czechia1901,644.96
Czechia1902,644.66
Czechia1903,767.25
Czechia1904,612.23
Czechia1905,653.02
Czechia1906,771.74
Czechia1907,676.8
Czechia1908,562.31
Czechia1909,765.83
Czechia1910,864.25
Czechia1911,592.87
Czechia1912,782.04
Czechia1913,682.13
Czechia1914,668.89
Czechia1915,822.68
Czechia1916,797.12
Czechia1917,562.85
Czechia1918,721.87
Czechia1919,792.21
Czechia1920,723.78
Czechia1921,549.07
Czechia1922,770.33
Czechia1923,685.84
Czechia1924,602.99
Czechia1925,769.13
Czechia1926,808.8
Czechia1927,669.34
Czechia1928,672.57
Czechia1929,614.92
Czechia1930,748.11
Czechia1931,679.54
Czechia1932,551.65
Czechia1933,617.29
Czechia1934,597.13
Czechia1935,649.22
Czechia1936,708.76
Czechia1937,791.56
Czechia1938,714.72
Czechia1939,867.04
Czechia1940,740.58
Czechia1941,883.32
Czechia1942,596.45
Czechia1943,549.36
Czechia1944,832.2
Czechia1945,709.19
Czechia1946,711.23
Czechia1947,594.02
Czechia1948,672.9
Czechia1949,664.01
Czechia1950,722.48
Czechia1951,639.36
Czechia1952,703.93
Czechia1953,535.53
Czechia1954,726.26
Czechia1955,729.89
Czechia1956,696.53
Czechia1957,660.35
Czechia1958,777.2
Czechia1959,594.03
Czechia1960,734.07
Czechia1961,637.1
Czechia1962,648.42
Czechia1963,602.41
Czechia1964,656.72
Czechia1965,779.54
Czechia1966,831.08
Czechia1967,668.19
Czechia1968,685.66
Czechia1969,584.09
Czechia1970,766.11
Czechia1971,592.82
Czechia1972,634.65
Czechia1973,555.12
Czechia1974,758.14
Czechia1975,650.27
Czechia1976,619.83
Czechia1977,748.7
Czechia1978,590.63
Czechia1979,721.93
Czechia1980,674.46
Czechia1981,761.74
Czechia1982,533.49
Czechia1983,585.38
Czechia1984,633.02
Czechia1985,694.13
Czechia1986,660.95
Czechia1987,738.25
Czechia1988,681.84
Czechia1989,580.28
Czechia1990,585.09
Czechia1991,582.88
Czechia1992,596.83
Czechia1993,631.77
Czechia1994,611.9
Czechia1995,730.78
Czechia1996,679.09
Czechia1997,676.42
Czechia1998,684.17
Czechia1999,643.06
Czechia2000,653.05
Czechia2001,750.03
Czechia2002,795.27
Czechia2003,508.32
Czechia2004,645.77
Czechia2005,710.3
Czechia2006,670.97
Czechia2007,745.03
Czechia2008,639.33
Czechia2009,745.92
Czechia2010,860.45
Czechia2011,590.7
Czechia2012,663.21
Czechia2013,729.14
Czechia2014,720.67
Czechia2015,562.76
Czechia2016,731.13
Czechia2017,706.03
Czechia2018,573.49
Czechia2019,623.63
Czechia2020,722.5
Czechia2021,704.28
Germany1901,679.26
Germany1902,670.15
Germany1903,714.35
Germany1904,627.67
Germany1905,724.76
Germany1906,712.98
Germany1907,644.51
Germany1908,630.17
Germany1909,733.81
Germany1910,801.88
Germany1911,555.92
Germany1912,786.51
Germany1913,688.06
Germany1914,760.06
Germany1915,737.04
Germany1916,803.38
Germany1917,674.17
Germany1918,705.15
Germany1919,713.14
Germany1920,671.26
Germany1921,534.28
Germany1922,830.8
Germany1923,735.73
Germany1924,713.09
Germany1925,727.39
Germany1926,784.84
Germany1927,804.85
Germany1928,687.48
Germany1929,599.79
Germany1930,814.27
Germany1931,808.92
Germany1932,662.98
Germany1933,611.55
Germany1934,618.26
Germany1935,744.68
Germany1936,751.27
Germany1937,729.53
Germany1938,677.56
Germany1939,855.98
Germany1940,780.54
Germany1941,773.92
Germany1942,635.04
Germany1943,584.47
Germany1944,788.99
Germany1945,733.25
Germany1946,710.99
