Country,Stock
France,19385156.454545453
Germany,12780337.727272727
Ireland,6877735.818181818
Spain,6293545.363636363
Italy,6216208.7727272725
Poland,5847294.636363637
Netherlands,3910164.090909091
Belgium,2594891.227272727
