Country,Year,Stock,Key,Rmmy,T°C
Slovenia,2006,452517,Slovenia2006,1195.38,9.67
Slovenia,2007,454033,Slovenia2007,1293.64,10.3
Slovenia,2008,479581,Slovenia2008,1431.38,10.15
Slovenia,2009,469983,Slovenia2009,1504.02,10.05
Slovenia,2010,472878,Slovenia2010,1586.25,9.12
Slovenia,2011,470151,Slovenia2011,1048.25,10.3
Slovenia,2012,462300,Slovenia2012,1372.4,10.23
Slovenia,2013,460063,Slovenia2013,1591.09,9.88
Slovenia,2014,460576,Slovenia2014,1780.04,10.72
Slovenia,2015,468253,Slovenia2015,1434.19,10.57
Slovenia,2016,484192,Slovenia2016,1698.73,10.14
Slovenia,2017,488598,Slovenia2017,1545.1,10.12
Slovenia,2018,476810,Slovenia2018,1415.59,10.98
Slovenia,2019,483070,Slovenia2019,1618.71,10.88
Slovenia,2020,485610,Slovenia2020,1588.68,10.55
Slovenia,2021,482620,Slovenia2021,1300.8,9.9
Spain,2000,6216883,Spain2000,663.27,13.85
Spain,2001,6410780,Spain2001,614.29,13.94
Spain,2002,6477895,Spain2002,715.4,13.91
Spain,2003,6548379,Spain2003,730.99,14.31
Spain,2004,6653087,Spain2004,599.73,13.83
Spain,2005,6463430,Spain2005,468.28,13.68
Spain,2006,6184092,Spain2006,649.59,14.42
Spain,2007,6584980,Spain2007,588.88,13.72
Spain,2008,6020200,Spain2008,689.68,13.66
Spain,2009,6082400,Spain2009,619.67,14.33
Spain,2010,6075100,Spain2010,829.65,13.62
Spain,2011,5923200,Spain2011,545.81,14.43
Spain,2012,5812600,Spain2012,535.49,13.93
Spain,2013,5696910,Spain2013,699.14,13.77
Spain,2014,6078700,Spain2014,650.58,14.57
Spain,2015,6182908,Spain2015,498.11,14.52
Spain,2016,6257057,Spain2016,658.8,14.36
Spain,2017,6465747,Spain2017,479.59,14.62
Spain,2018,6510590,Spain2018,794.36,14.23
Spain,2019,6600330,Spain2019,580.81,14.42
Spain,2020,6636430,Spain2020,628.35,14.65
Spain,2021,6576300,Spain2021,632.75,14.25
Sweden,2000,1683700,Sweden2000,820.68,3.91
Sweden,2001,1651500,Sweden2001,714.02,2.65
Sweden,2002,1637465,Sweden2002,592.97,3.19
Sweden,2003,1606674,Sweden2003,577.82,3.14
Sweden,2004,1628464,Sweden2004,652.36,3.17
Sweden,2005,1604933,Sweden2005,632.63,3.5
Sweden,2006,1590409,Sweden2006,652.16,3.76
Sweden,2007,1559725,Sweden2007,683.13,3.6
Sweden,2008,1558381,Sweden2008,695.48,3.75
Sweden,2009,1538281,Sweden2009,660.26,3.09
Sweden,2010,1536700,Sweden2010,644.76,1.24
Sweden,2011,1511846,Sweden2011,684.42,3.96
Sweden,2012,1500293,Sweden2012,736.57,2.48
Sweden,2013,1496526,Sweden2013,587.59,3.32
Sweden,2014,1493119,Sweden2014,630.14,4.18
Sweden,2015,1428400,Sweden2015,690.14,3.91
Sweden,2016,1436050,Sweden2016,625.78,3.44
Sweden,2017,1448590,Sweden2017,678.22,3.16
Sweden,2018,1435450,Sweden2018,539.63,3.62
Sweden,2019,1404670,Sweden2019,682.36,3.34
Sweden,2020,1390960,Sweden2020,669.34,4.47
Sweden,2021,1389890,Sweden2021,608.87,3.02
